instance,algorithm,feasible,vehicles,distance,travel_time,served,runtime_sec,seed,bih_first
c1_10_1,ABC,True,107,47296.991,140535.679,1000,131.737,2026,True
c1_10_10,ABC,True,123,89744.008,184345.874,1000,101.487,2026,True
c1_10_2,ABC,True,98,58203.712,152181.152,1000,99.142,2026,True
c1_10_3,ABC,True,98,73352.658,166828.679,1000,104.437,2026,True
c1_10_4,ABC,True,102,76512.692,171941.775,1000,92.001,2026,True
c1_10_5,ABC,True,115,54791.678,149335.665,1000,109.913,2026,True
c1_10_6,ABC,True,126,62167.759,159456.179,1000,115.436,2026,True
c1_10_7,ABC,True,108,52817.655,144780.175,1000,98.6,2026,True
c1_10_8,ABC,True,122,64559.102,159097.604,1000,117.094,2026,True
c1_10_9,ABC,True,108,64014.981,156686.624,1000,105.483,2026,True
c2_10_1,ABC,True,34,21880.385,117411.515,1000,91.964,2026,True
c2_10_10,ABC,True,37,48023.168,142867.761,1000,113.444,2026,True
c2_10_2,ABC,True,36,48347.116,139805.219,1000,108.993,2026,True
c2_10_3,ABC,True,38,54348.18,145687.2,1000,114.231,2026,True
c2_10_4,ABC,True,33,33637.132,127910.134,1000,121.992,2026,True
c2_10_5,ABC,True,34,23459.318,119681.158,1000,113.916,2026,True
c2_10_6,ABC,True,40,50648.892,144153.473,1000,93.996,2026,True
c2_10_7,ABC,True,42,47477.687,147591.506,1000,114.699,2026,True
c2_10_8,ABC,True,34,33777.111,129832.284,1000,117.37,2026,True
c2_10_9,ABC,True,42,63308.871,162503.159,1000,92.137,2026,True
r1_10_1,ABC,True,103,83337.84,167131.562,1000,91.875,2026,True
r1_10_10,ABC,True,93,91719.939,147884.842,1000,105.781,2026,True
r1_10_2,ABC,True,92,83100.986,140236.823,1000,115.821,2026,True
r1_10_3,ABC,True,92,93988.471,134220.907,1000,109.417,2026,True
r1_10_4,ABC,True,92,100274.407,125454.88,1000,100.237,2026,True
r1_10_5,ABC,True,98,79890.366,158744.727,1000,106.837,2026,True
r1_10_6,ABC,True,92,78983.17,130553.944,1000,92.691,2026,True
r1_10_7,ABC,True,92,90672.777,128513.119,1000,116.324,2026,True
r1_10_8,ABC,True,92,104055.405,124925.937,1000,121.968,2026,True
r1_10_9,ABC,True,96,84951.058,153357.235,1000,126.758,2026,True
r2_10_1,ABC,True,20,78868.083,129118.74,1000,112.267,2026,True
r2_10_10,ABC,True,19,68782.32,122282.947,1000,120.93,2026,True
r2_10_2,ABC,True,19,63157.567,120411.882,1000,92.288,2026,True
r2_10_3,ABC,True,19,49421.878,120730.426,1000,111.475,2026,True
r2_10_4,ABC,True,19,44273.18,71678.847,1000,125.84,2026,True
r2_10_5,ABC,True,19,69610.03,125126.643,1000,114.466,2026,True
r2_10_6,ABC,True,19,65342.109,107341.841,1000,98.996,2026,True
r2_10_7,ABC,True,19,55333.004,119273.698,1000,106.16,2026,True
r2_10_8,ABC,True,19,44200.286,68174.536,1000,107.829,2026,True
r2_10_9,ABC,True,19,67314.855,124389.197,1000,112.269,2026,True
rc1_10_1,ABC,True,94,66177.101,121723.394,1000,128.073,2026,True
rc1_10_10,ABC,True,93,62563.038,127507.363,1000,113.562,2026,True
rc1_10_2,ABC,True,91,75687.829,132180.386,1000,118.719,2026,True
rc1_10_3,ABC,True,91,79779.033,121700.379,1000,99.004,2026,True
rc1_10_4,ABC,True,90,87935.09,118086.395,1000,107.327,2026,True
rc1_10_5,ABC,True,94,66828.563,124990.3,1000,120.75,2026,True
rc1_10_6,ABC,True,95,67032.606,124732.007,1000,123.787,2026,True
rc1_10_7,ABC,True,95,68475.307,125862.923,1000,127.92,2026,True
rc1_10_8,ABC,True,93,61156.929,127980.588,1000,117.511,2026,True
rc1_10_9,ABC,True,93,63164.405,130246.919,1000,115.233,2026,True
rc2_10_1,ABC,True,31,40956.369,190483.203,1000,92.339,2026,True
rc2_10_10,ABC,True,21,42458.61,129289.35,1000,112.537,2026,True
rc2_10_2,ABC,True,26,71546.643,176020.346,1000,91.26,2026,True
rc2_10_3,ABC,True,21,32127.306,108268.078,1000,113.627,2026,True
rc2_10_4,ABC,True,18,26869.473,84131.279,1000,118.283,2026,True
rc2_10_5,ABC,True,23,47969.789,134197.737,1000,112.782,2026,True
rc2_10_6,ABC,True,23,40449.502,143691.795,1000,108.296,2026,True
rc2_10_7,ABC,True,21,36274.13,129840.14,1000,117.572,2026,True
rc2_10_8,ABC,True,19,38866.931,118861.302,1000,110.311,2026,True
rc2_10_9,ABC,True,20,41129.212,122894.836,1000,107.076,2026,True
