instance,algorithm,feasible,vehicles,distance,travel_time,served,runtime_sec,seed,bih_first
c1_10_1,BIH,True,107,47296.991,140535.679,1000,13.049,2026,True
c1_10_1,ACO,True,106,46428.768,139421.423,1000,91.71,2026,True
c1_10_10,BIH,True,123,89744.008,184345.874,1000,12.322,2026,True
c1_10_10,ACO,True,123,89744.008,184345.874,1000,94.629,2026,True
c1_10_2,BIH,True,98,58203.712,152181.152,1000,13.348,2026,True
c1_10_2,ACO,True,96,62308.379,160273.154,1000,93.027,2026,True
c1_10_3,BIH,True,98,73352.658,166828.679,1000,16.72,2026,True
c1_10_3,ACO,True,98,73352.658,166828.679,1000,95.066,2026,True
c1_10_4,BIH,True,102,76512.692,171941.775,1000,14.87,2026,True
c1_10_4,ACO,True,102,76512.692,171941.775,1000,96.242,2026,True
c1_10_5,BIH,True,115,54791.678,149335.665,1000,13.375,2026,True
c1_10_5,ACO,True,113,54442.547,148132.126,1000,91.457,2026,True
c1_10_6,BIH,True,126,62167.759,159456.179,1000,12.783,2026,True
c1_10_6,ACO,True,126,62167.759,159456.179,1000,90.594,2026,True
c1_10_7,BIH,True,108,52817.655,144780.175,1000,13.559,2026,True
c1_10_7,ACO,True,105,51738.734,142838.312,1000,96.307,2026,True
c1_10_8,BIH,True,122,64559.102,159097.604,1000,12.933,2026,True
c1_10_8,ACO,True,121,68779.151,164303.022,1000,95.605,2026,True
c1_10_9,BIH,True,108,64014.981,156686.624,1000,13.078,2026,True
c1_10_9,ACO,True,104,63264.558,153748.495,1000,95.776,2026,True
c2_10_1,BIH,True,34,21880.385,117411.515,1000,27.228,2026,True
c2_10_1,ACO,True,33,21258.848,114542.993,1000,93.859,2026,True
c2_10_10,BIH,True,38,39321.538,146149.679,1000,26.65,2026,True
c2_10_10,ACO,True,35,40225.851,134315.566,1000,93.396,2026,True
c2_10_2,BIH,True,36,48347.116,139805.219,1000,27.533,2026,True
c2_10_2,ACO,True,36,48347.116,139805.219,1000,92.992,2026,True
c2_10_3,BIH,True,38,54348.18,145687.2,1000,29.721,2026,True
c2_10_3,ACO,True,38,54348.18,145687.2,1000,94.305,2026,True
c2_10_4,BIH,True,33,33637.132,127910.134,1000,30.836,2026,True
c2_10_4,ACO,True,33,33637.132,127910.134,1000,90.627,2026,True
c2_10_5,BIH,True,34,23459.318,119681.158,1000,26.71,2026,True
c2_10_5,ACO,True,33,22622.973,117256.052,1000,91.897,2026,True
c2_10_6,BIH,True,40,50648.892,144153.473,1000,27.766,2026,True
c2_10_6,ACO,True,39,51742.039,143931.173,1000,92.853,2026,True
c2_10_7,BIH,True,42,47477.687,147591.506,1000,23.897,2026,True
c2_10_7,ACO,True,42,47477.687,147591.506,1000,94.026,2026,True
c2_10_8,BIH,True,34,33777.111,129832.284,1000,26.781,2026,True
c2_10_8,ACO,True,33,32069.341,125854.775,1000,94.129,2026,True
c2_10_9,BIH,True,42,63308.871,162503.159,1000,25.032,2026,True
c2_10_9,ACO,True,42,63308.871,162503.159,1000,93.364,2026,True
r1_10_1,BIH,True,103,83337.84,167131.562,1000,14.188,2026,True
r1_10_1,ACO,True,103,82825.502,156217.142,1000,96.793,2026,True
r1_10_10,BIH,True,93,91719.939,147884.842,1000,15.395,2026,True
r1_10_10,ACO,True,93,91719.939,147884.842,1000,93.1,2026,True
r1_10_2,BIH,True,92,83100.986,140236.823,1000,15.279,2026,True
r1_10_2,ACO,True,92,83100.986,140236.823,1000,94.636,2026,True
r1_10_3,BIH,True,92,93988.471,134220.907,1000,15.708,2026,True
r1_10_3,ACO,True,92,93988.471,134220.907,1000,94.025,2026,True
r1_10_4,BIH,True,92,100274.407,125454.88,1000,15.91,2026,True
r1_10_4,ACO,True,92,100274.407,125454.88,1000,94.214,2026,True
r1_10_5,BIH,True,98,79890.366,158744.727,1000,14.91,2026,True
r1_10_5,ACO,True,98,79890.366,158744.727,1000,91.444,2026,True
r1_10_6,BIH,True,92,78983.17,130553.944,1000,15.487,2026,True
r1_10_6,ACO,True,92,78983.17,130553.944,1000,93.99,2026,True
r1_10_7,BIH,True,92,90672.777,128513.119,1000,15.69,2026,True
r1_10_7,ACO,True,92,90672.777,128513.119,1000,91.211,2026,True
r1_10_8,BIH,True,92,104055.405,124925.937,1000,16.035,2026,True
r1_10_8,ACO,True,92,104055.405,124925.937,1000,94.048,2026,True
r1_10_9,BIH,True,96,84951.058,153357.235,1000,15.239,2026,True
r1_10_9,ACO,True,96,84951.058,153357.235,1000,90.035,2026,True
r2_10_1,BIH,True,21,73442.538,132868.463,1000,43.039,2026,True
r2_10_1,ACO,True,20,76690.559,128486.841,1000,91.409,2026,True
r2_10_10,BIH,True,19,68782.32,122282.947,1000,49.59,2026,True
r2_10_10,ACO,True,19,68782.32,122282.947,1000,93.936,2026,True
r2_10_2,BIH,True,19,63157.567,120411.882,1000,47.517,2026,True
r2_10_2,ACO,True,19,63157.567,120411.882,1000,90.27,2026,True
r2_10_3,BIH,True,19,49421.878,120730.426,1000,51.939,2026,True
r2_10_3,ACO,True,19,49421.878,120730.426,1000,94.048,2026,True
r2_10_4,BIH,True,19,44273.18,71678.847,1000,54.752,2026,True
r2_10_4,ACO,True,19,44273.18,71678.847,1000,93.929,2026,True
r2_10_5,BIH,True,19,69610.03,125126.643,1000,46.833,2026,True
r2_10_5,ACO,True,19,69610.03,125126.643,1000,94.348,2026,True
r2_10_6,BIH,True,19,65342.109,107341.841,1000,50.065,2026,True
r2_10_6,ACO,True,19,65342.109,107341.841,1000,93.607,2026,True
r2_10_7,BIH,True,19,55333.004,119273.698,1000,53.147,2026,True
r2_10_7,ACO,True,19,55333.004,119273.698,1000,92.225,2026,True
r2_10_8,BIH,True,19,44200.286,68174.536,1000,55.717,2026,True
r2_10_8,ACO,True,19,44200.286,68174.536,1000,91.821,2026,True
r2_10_9,BIH,True,19,67314.855,124389.197,1000,49.005,2026,True
r2_10_9,ACO,True,19,67314.855,124389.197,1000,94.26,2026,True
rc1_10_1,BIH,True,94,66177.101,121723.394,1000,14.401,2026,True
rc1_10_1,ACO,True,93,65058.26,119944.902,1000,92.17,2026,True
rc1_10_10,BIH,True,93,62563.038,127507.363,1000,15.087,2026,True
rc1_10_10,ACO,True,93,62563.038,127507.363,1000,91.653,2026,True
rc1_10_2,BIH,True,91,75687.829,132180.386,1000,14.85,2026,True
rc1_10_2,ACO,True,91,75687.829,132180.386,1000,91.138,2026,True
rc1_10_3,BIH,True,91,79779.033,121700.379,1000,15.349,2026,True
rc1_10_3,ACO,True,91,79779.033,121700.379,1000,92.424,2026,True
rc1_10_4,BIH,True,90,87935.09,118086.395,1000,15.952,2026,True
rc1_10_4,ACO,True,90,87935.09,118086.395,1000,90.491,2026,True
rc1_10_5,BIH,True,94,66828.563,124990.3,1000,14.284,2026,True
rc1_10_5,ACO,True,94,66828.563,124990.3,1000,90.336,2026,True
rc1_10_6,BIH,True,95,67032.606,124732.007,1000,14.513,2026,True
rc1_10_6,ACO,True,92,66800.667,117889.063,1000,90.397,2026,True
rc1_10_7,BIH,True,95,68475.307,125862.923,1000,14.521,2026,True
rc1_10_7,ACO,True,95,68475.307,125862.923,1000,96.185,2026,True
rc1_10_8,BIH,True,93,61156.929,127980.588,1000,14.886,2026,True
rc1_10_8,ACO,True,93,61156.929,127980.588,1000,94.91,2026,True
rc1_10_9,BIH,True,93,63164.405,130246.919,1000,15.01,2026,True
rc1_10_9,ACO,True,91,71160.879,118341.751,1000,93.024,2026,True
rc2_10_1,BIH,True,31,40956.369,190483.203,1000,34.08,2026,True
rc2_10_1,ACO,True,30,53124.331,171804.518,1000,93.039,2026,True
rc2_10_10,BIH,True,21,42458.61,129289.35,1000,41.39,2026,True
rc2_10_10,ACO,True,21,42458.61,129289.35,1000,90.957,2026,True
rc2_10_2,BIH,True,27,41936.988,151679.671,1000,39.039,2026,True
rc2_10_2,ACO,True,26,62980.841,165446.785,1000,92.564,2026,True
rc2_10_3,BIH,True,21,32127.306,108268.078,1000,43.613,2026,True
rc2_10_3,ACO,True,21,32127.306,108268.078,1000,93.943,2026,True
rc2_10_4,BIH,True,18,26869.473,84131.279,1000,49.908,2026,True
rc2_10_4,ACO,True,18,26869.473,84131.279,1000,90.958,2026,True
rc2_10_5,BIH,True,23,47969.789,134197.737,1000,37.965,2026,True
rc2_10_5,ACO,True,23,47969.789,134197.737,1000,92.537,2026,True
rc2_10_6,BIH,True,23,40449.502,143691.795,1000,38.493,2026,True
rc2_10_6,ACO,True,23,40449.502,143691.795,1000,92.167,2026,True
rc2_10_7,BIH,True,21,36274.13,129840.14,1000,38.593,2026,True
rc2_10_7,ACO,True,21,36274.13,129840.14,1000,92.724,2026,True
rc2_10_8,BIH,True,19,38866.931,118861.302,1000,40.935,2026,True
rc2_10_8,ACO,True,19,38866.931,118861.302,1000,91.814,2026,True
rc2_10_9,BIH,True,20,41129.212,122894.836,1000,42.261,2026,True
rc2_10_9,ACO,True,20,41129.212,122894.836,1000,90.928,2026,True
