instance,algorithm,feasible,vehicles,distance,travel_time,served,runtime_sec,seed,bih_first
c1_10_1,BIH,True,107,47296.991,140535.679,1000,12.96,2026,True
c1_10_1,BIH-ABC-DR,True,107,46903.659,139834.818,1000,90.629,2026,True
c1_10_10,BIH,True,123,89744.008,184345.874,1000,11.861,2026,True
c1_10_10,BIH-ABC-DR,True,120,84813.766,178135.716,1000,101.648,2026,True
c1_10_2,BIH,True,98,58203.712,152181.152,1000,13.082,2026,True
c1_10_2,BIH-ABC-DR,True,98,57940.656,152367.339,1000,92.928,2026,True
c1_10_3,BIH,True,98,73352.658,166828.679,1000,13.618,2026,True
c1_10_3,BIH-ABC-DR,True,97,69636.32,164081.255,1000,90.017,2026,True
c1_10_4,BIH,True,102,76512.692,171941.775,1000,18.546,2026,True
c1_10_4,BIH-ABC-DR,True,101,71933.134,168246.448,1000,95.044,2026,True
c1_10_5,BIH,True,115,54791.678,149335.665,1000,12.711,2026,True
c1_10_5,BIH-ABC-DR,True,114,54135.396,148272.651,1000,94.027,2026,True
c1_10_6,BIH,True,126,62167.759,159456.179,1000,11.994,2026,True
c1_10_6,BIH-ABC-DR,True,124,59039.214,156837.028,1000,106.786,2026,True
c1_10_7,BIH,True,108,52817.655,144780.175,1000,26.809,2026,True
c1_10_7,BIH-ABC-DR,True,106,51484.162,142264.378,1000,104.027,2026,True
c1_10_8,BIH,True,122,64559.102,159097.604,1000,22.348,2026,True
c1_10_8,BIH-ABC-DR,True,120,60113.441,156300.273,1000,91.484,2026,True
c1_10_9,BIH,True,108,64014.981,156686.624,1000,19.362,2026,True
c1_10_9,BIH-ABC-DR,True,105,61818.842,153161.986,1000,95.248,2026,True
c2_10_1,BIH,True,34,21880.385,117411.515,1000,35.232,2026,True
c2_10_1,BIH-ABC-DR,True,34,21880.385,117411.515,1000,104.041,2026,True
c2_10_10,BIH,True,38,39321.538,146149.679,1000,26.632,2026,True
c2_10_10,BIH-ABC-DR,True,37,37977.74,141532.366,1000,90.19,2026,True
c2_10_2,BIH,True,36,48347.116,139805.219,1000,30.741,2026,True
c2_10_2,BIH-ABC-DR,True,36,48347.116,139805.219,1000,114.644,2026,True
c2_10_3,BIH,True,38,54348.18,145687.2,1000,29.194,2026,True
c2_10_3,BIH-ABC-DR,True,38,53829.932,146204.526,1000,115.227,2026,True
c2_10_4,BIH,True,33,33637.132,127910.134,1000,32.871,2026,True
c2_10_4,BIH-ABC-DR,True,33,33610.475,127813.52,1000,118.703,2026,True
c2_10_5,BIH,True,34,23459.318,119681.158,1000,27.342,2026,True
c2_10_5,BIH-ABC-DR,True,33,23364.048,117159.258,1000,115.883,2026,True
c2_10_6,BIH,True,40,50648.892,144153.473,1000,49.346,2026,True
c2_10_6,BIH-ABC-DR,True,40,50498.778,144247.05,1000,108.981,2026,True
c2_10_7,BIH,True,42,47477.687,147591.506,1000,25.635,2026,True
c2_10_7,BIH-ABC-DR,True,41,42157.729,143416.662,1000,101.82,2026,True
c2_10_8,BIH,True,34,33777.111,129832.284,1000,25.788,2026,True
c2_10_8,BIH-ABC-DR,True,34,30011.481,126096.552,1000,115.8,2026,True
c2_10_9,BIH,True,42,63308.871,162503.159,1000,25.629,2026,True
c2_10_9,BIH-ABC-DR,True,42,63030.724,161500.111,1000,105.182,2026,True
r1_10_1,BIH,True,103,83337.84,167131.562,1000,20.261,2026,True
r1_10_1,BIH-ABC-DR,True,103,78967.972,168665.803,1000,92.186,2026,True
r1_10_10,BIH,True,93,91719.939,147884.842,1000,14.834,2026,True
r1_10_10,BIH-ABC-DR,True,93,84566.596,148322.957,1000,93.395,2026,True
r1_10_2,BIH,True,92,83100.986,140236.823,1000,16.618,2026,True
r1_10_2,BIH-ABC-DR,True,92,80585.272,142138.14,1000,93.742,2026,True
r1_10_3,BIH,True,92,93988.471,134220.907,1000,16.761,2026,True
r1_10_3,BIH-ABC-DR,True,92,90884.474,136823.012,1000,91.572,2026,True
r1_10_4,BIH,True,92,100274.407,125454.88,1000,19.143,2026,True
r1_10_4,BIH-ABC-DR,True,92,93879.84,123525.239,1000,96.877,2026,True
r1_10_5,BIH,True,98,79890.366,158744.727,1000,14.562,2026,True
r1_10_5,BIH-ABC-DR,True,94,76972.986,153929.043,1000,96.855,2026,True
r1_10_6,BIH,True,92,78983.17,130553.944,1000,14.724,2026,True
r1_10_6,BIH-ABC-DR,True,92,77199.469,133779.164,1000,94.117,2026,True
r1_10_7,BIH,True,92,90672.777,128513.119,1000,18.241,2026,True
r1_10_7,BIH-ABC-DR,True,92,87426.724,132510.726,1000,91.379,2026,True
r1_10_8,BIH,True,92,104055.405,124925.937,1000,26.318,2026,True
r1_10_8,BIH-ABC-DR,True,92,103719.096,124589.628,1000,93.699,2026,True
r1_10_9,BIH,True,96,84951.058,153357.235,1000,30.479,2026,True
r1_10_9,BIH-ABC-DR,True,94,82576.8,151843.793,1000,97.132,2026,True
r2_10_1,BIH,True,21,73442.538,132868.463,1000,76.272,2026,True
r2_10_1,BIH-ABC-DR,True,21,72568.243,134166.01,1000,115.958,2026,True
r2_10_10,BIH,True,19,68782.32,122282.947,1000,49.865,2026,True
r2_10_10,BIH-ABC-DR,True,19,65139.096,122328.516,1000,102.385,2026,True
r2_10_2,BIH,True,19,63157.567,120411.882,1000,88.704,2026,True
r2_10_2,BIH-ABC-DR,True,19,63003.802,120411.882,1000,90.248,2026,True
r2_10_3,BIH,True,19,49421.878,120730.426,1000,95.861,2026,True
r2_10_3,BIH-ABC-DR,True,19,49397.005,120730.604,1000,96.095,2026,True
