instance,algorithm,feasible,vehicles,distance,travel_time,served,runtime_sec,seed,bih_first
c1_10_1,BIH,True,107,47296.991,140535.679,1000,41.378,2026,True
c1_10_1,BIH-ACO-DR,True,107,46809.207,140698.032,1000,90.01,2026,True
c1_10_10,BIH,True,123,89744.008,184345.874,1000,46.949,2026,True
c1_10_10,BIH-ACO-DR,True,121,78815.223,173154.747,1000,95.229,2026,True
c1_10_2,BIH,True,98,58203.712,152181.152,1000,62.892,2026,True
c1_10_2,BIH-ACO-DR,True,98,57949.574,151978.137,1000,103.848,2026,True
c1_10_3,BIH,True,98,73352.658,166828.679,1000,50.052,2026,True
c1_10_3,BIH-ACO-DR,True,97,69517.339,163426.947,1000,95.33,2026,True
c1_10_4,BIH,True,102,76512.692,171941.775,1000,59.003,2026,True
c1_10_4,BIH-ACO-DR,True,101,68255.503,165794.304,1000,104.293,2026,True
c1_10_5,BIH,True,115,54791.678,149335.665,1000,54.962,2026,True
c1_10_5,BIH-ACO-DR,True,114,54225.552,148396.932,1000,90.048,2026,True
c1_10_6,BIH,True,126,62167.759,159456.179,1000,41.125,2026,True
c1_10_6,BIH-ACO-DR,True,125,58562.642,157494.804,1000,94.238,2026,True
c1_10_7,BIH,True,108,52817.655,144780.175,1000,56.425,2026,True
c1_10_7,BIH-ACO-DR,True,106,51461.329,142149.701,1000,97.517,2026,True
c1_10_8,BIH,True,122,64559.102,159097.604,1000,51.241,2026,True
c1_10_8,BIH-ACO-DR,True,119,57874.156,154558.189,1000,94.473,2026,True
c1_10_9,BIH,True,108,64014.981,156686.624,1000,38.521,2026,True
c1_10_9,BIH-ACO-DR,True,106,59573.371,151764.323,1000,91.486,2026,True
c2_10_1,BIH,True,34,21880.385,117411.515,1000,91.939,2026,True
c2_10_1,BIH-ACO-DR,True,34,21880.385,117411.515,1000,91.776,2026,True
c2_10_10,BIH,True,38,39321.538,146149.679,1000,95.743,2026,True
c2_10_10,BIH-ACO-DR,True,37,38900.61,141913.701,1000,129.315,2026,True
c2_10_2,BIH,True,36,48347.116,139805.219,1000,95.829,2026,True
c2_10_2,BIH-ACO-DR,True,36,48347.116,139805.219,1000,99.02,2026,True
c2_10_3,BIH,True,38,54348.18,145687.2,1000,118.675,2026,True
c2_10_3,BIH-ACO-DR,True,38,54348.18,145687.2,1000,94.259,2026,True
c2_10_4,BIH,True,33,33637.132,127910.134,1000,125.772,2026,True
c2_10_4,BIH-ACO-DR,True,33,33624.96,127910.781,1000,102.919,2026,True
c2_10_5,BIH,True,34,23459.318,119681.158,1000,107.777,2026,True
c2_10_5,BIH-ACO-DR,True,33,23360.578,117099.249,1000,153.328,2026,True
c2_10_6,BIH,True,40,50648.892,144153.473,1000,111.437,2026,True
c2_10_6,BIH-ACO-DR,True,40,50497.374,144046.501,1000,127.123,2026,True
c2_10_7,BIH,True,42,47477.687,147591.506,1000,112.798,2026,True
c2_10_7,BIH-ACO-DR,True,42,47331.527,147593.759,1000,96.658,2026,True
c2_10_8,BIH,True,34,33777.111,129832.284,1000,102.881,2026,True
c2_10_8,BIH-ACO-DR,True,34,33361.445,129341.268,1000,122.595,2026,True
c2_10_9,BIH,True,42,63308.871,162503.159,1000,132.627,2026,True
c2_10_9,BIH-ACO-DR,True,42,58516.236,159078.881,1000,132.311,2026,True
r1_10_1,BIH,True,103,83337.84,167131.562,1000,51.768,2026,True
r1_10_1,BIH-ACO-DR,True,103,82394.293,168981.659,1000,92.209,2026,True
r1_10_10,BIH,True,93,91719.939,147884.842,1000,60.365,2026,True
r1_10_10,BIH-ACO-DR,True,92,87790.062,146231.866,1000,96.637,2026,True
r1_10_2,BIH,True,92,83100.986,140236.823,1000,65.371,2026,True
r1_10_2,BIH-ACO-DR,True,92,82835.204,140697.243,1000,100.372,2026,True
r1_10_3,BIH,True,92,93988.471,134220.907,1000,109.453,2026,True
r1_10_3,BIH-ACO-DR,True,92,92673.445,134683.65,1000,102.562,2026,True
r1_10_4,BIH,True,92,100274.407,125454.88,1000,128.35,2026,True
r1_10_4,BIH-ACO-DR,True,92,97449.847,123715.102,1000,105.097,2026,True
r1_10_5,BIH,True,98,79890.366,158744.727,1000,91.854,2026,True
r1_10_5,BIH-ACO-DR,True,95,77406.342,155289.837,1000,91.376,2026,True
r1_10_6,BIH,True,92,78983.17,130553.944,1000,64.228,2026,True
r1_10_6,BIH-ACO-DR,True,92,77325.984,131811.538,1000,109.412,2026,True
r1_10_7,BIH,True,92,90672.777,128513.119,1000,133.817,2026,True
r1_10_7,BIH-ACO-DR,True,92,88755.918,130575.51,1000,99.363,2026,True
r1_10_8,BIH,True,92,104055.405,124925.937,1000,85.062,2026,True
r1_10_8,BIH-ACO-DR,True,92,96900.57,122029.361,1000,95.448,2026,True
r1_10_9,BIH,True,96,84951.058,153357.235,1000,65.309,2026,True
r1_10_9,BIH-ACO-DR,True,94,81969.332,151726.938,1000,98.041,2026,True
r2_10_1,BIH,True,21,73442.538,132868.463,1000,181.677,2026,True
r2_10_1,BIH-ACO-DR,True,21,72650.495,132825.287,1000,97.896,2026,True
r2_10_10,BIH,True,19,68782.32,122282.947,1000,214.564,2026,True
r2_10_10,BIH-ACO-DR,True,19,66596.117,122129.897,1000,95.985,2026,True
r2_10_2,BIH,True,19,63157.567,120411.882,1000,219.279,2026,True
r2_10_2,BIH-ACO-DR,True,19,63049.004,120411.882,1000,94.496,2026,True
r2_10_3,BIH,True,19,49421.878,120730.426,1000,237.746,2026,True
r2_10_3,BIH-ACO-DR,True,19,49394.837,120730.426,1000,127.082,2026,True
r2_10_4,BIH,True,19,44273.18,71678.847,1000,227.392,2026,True
r2_10_4,BIH-ACO-DR,True,19,42381.286,78287.121,1000,102.588,2026,True
r2_10_5,BIH,True,19,69610.03,125126.643,1000,227.159,2026,True
r2_10_5,BIH-ACO-DR,True,19,69610.03,125126.643,1000,90.797,2026,True
r2_10_6,BIH,True,19,65342.109,107341.841,1000,258.444,2026,True
r2_10_6,BIH-ACO-DR,True,19,64753.119,114411.811,1000,125.306,2026,True
r2_10_7,BIH,True,19,55333.004,119273.698,1000,312.522,2026,True
r2_10_7,BIH-ACO-DR,True,19,55333.004,119273.698,1000,91.095,2026,True
r2_10_8,BIH,True,19,44200.286,68174.536,1000,307.325,2026,True
r2_10_8,BIH-ACO-DR,True,19,44200.286,68174.536,1000,95.596,2026,True
r2_10_9,BIH,True,19,67314.855,124389.197,1000,319.026,2026,True
r2_10_9,BIH-ACO-DR,True,19,67314.855,124389.197,1000,90.378,2026,True
rc1_10_1,BIH,True,94,66177.101,121723.394,1000,87.848,2026,True
rc1_10_1,BIH-ACO-DR,True,94,63117.205,119830.772,1000,94.385,2026,True
rc1_10_10,BIH,True,93,62563.038,127507.363,1000,62.987,2026,True
rc1_10_10,BIH-ACO-DR,True,92,60511.452,126278.547,1000,93.426,2026,True
rc1_10_2,BIH,True,91,75687.829,132180.386,1000,75.313,2026,True
rc1_10_2,BIH-ACO-DR,True,91,70755.402,130778.553,1000,99.778,2026,True
rc1_10_3,BIH,True,91,79779.033,121700.379,1000,115.665,2026,True
rc1_10_3,BIH-ACO-DR,True,91,79768.563,121700.379,1000,99.164,2026,True
rc1_10_4,BIH,True,90,87935.09,118086.395,1000,100.943,2026,True
