instance,algorithm,feasible,vehicles,distance,travel_time,served,runtime_sec,seed,bih_first
c1_10_1,BIH-GWO-DR,True,105,45861.618,138254.881,1000,91.966,2026,True
c1_10_10,BIH-GWO-DR,True,112,68033.088,162109.024,1000,92.57,2026,True
c1_10_2,BIH-GWO-DR,True,98,57470.743,151735.899,1000,92.254,2026,True
c1_10_3,BIH-GWO-DR,True,97,66982.836,162603.918,1000,91.775,2026,True
c1_10_4,BIH-GWO-DR,True,94,57781.914,153894.138,1000,92.628,2026,True
c1_10_5,BIH-GWO-DR,True,112,52476.013,145862.404,1000,92.903,2026,True
c1_10_6,BIH-GWO-DR,True,116,52949.32,148413.165,1000,91.102,2026,True
c1_10_7,BIH-GWO-DR,True,105,50413.132,142178.868,1000,91.431,2026,True
c1_10_8,BIH-GWO-DR,True,116,55217.527,151324.326,1000,91.818,2026,True
c1_10_9,BIH-GWO-DR,True,101,54995.87,146626.811,1000,92.082,2026,True
c2_10_1,BIH-GWO-DR,True,33,19707.462,114372.441,1000,96.871,2026,True
c2_10_10,BIH-GWO-DR,True,32,28545.859,120545.279,1000,93.608,2026,True
c2_10_2,BIH-GWO-DR,True,36,48326.83,139805.219,1000,91.264,2026,True
c2_10_3,BIH-GWO-DR,True,38,54347.735,145686.756,1000,90.526,2026,True
c2_10_4,BIH-GWO-DR,True,33,33610.063,127804.058,1000,90.711,2026,True
c2_10_5,BIH-GWO-DR,True,31,20162.534,112965.576,1000,96.931,2026,True
c2_10_6,BIH-GWO-DR,True,40,40937.703,139444.352,1000,94.497,2026,True
c2_10_7,BIH-GWO-DR,True,41,41932.745,143497.861,1000,93.268,2026,True
c2_10_8,BIH-GWO-DR,True,33,28443.046,123318.124,1000,94.61,2026,True
c2_10_9,BIH-GWO-DR,True,40,51307.725,149451.29,1000,94.63,2026,True
r1_10_1,BIH-GWO-DR,True,102,74683.182,163593.902,1000,93.607,2026,True
r1_10_10,BIH-GWO-DR,True,92,85417.022,145780.447,1000,90.083,2026,True
r1_10_2,BIH-GWO-DR,True,92,78993.179,142403.586,1000,91.657,2026,True
r1_10_3,BIH-GWO-DR,True,92,89993.308,138972.413,1000,90.574,2026,True
r1_10_4,BIH-GWO-DR,True,92,85040.517,125204.523,1000,90.554,2026,True
r1_10_5,BIH-GWO-DR,True,93,77305.625,151920.143,1000,90.013,2026,True
r1_10_6,BIH-GWO-DR,True,92,77055.471,134909.187,1000,90.012,2026,True
r1_10_7,BIH-GWO-DR,True,92,81418.503,137062.726,1000,90.025,2026,True
r1_10_8,BIH-GWO-DR,True,92,90847.555,124242.071,1000,91.35,2026,True
r1_10_9,BIH-GWO-DR,True,93,80165.436,149903.408,1000,91.622,2026,True
r2_10_1,BIH-GWO-DR,True,21,73266.391,132947.287,1000,98.616,2026,True
r2_10_10,BIH-GWO-DR,True,19,68146.431,122408.242,1000,90.374,2026,True
r2_10_2,BIH-GWO-DR,True,19,61931.803,120424.854,1000,95.364,2026,True
r2_10_3,BIH-GWO-DR,True,19,49421.878,120730.426,1000,91.384,2026,True
r2_10_4,BIH-GWO-DR,True,19,41230.982,101505.536,1000,90.372,2026,True
r2_10_5,BIH-GWO-DR,True,19,69481.25,125126.643,1000,93.138,2026,True
r2_10_6,BIH-GWO-DR,True,19,61517.709,115825.125,1000,95.963,2026,True
r2_10_7,BIH-GWO-DR,True,19,54077.39,119334.681,1000,95.73,2026,True
r2_10_8,BIH-GWO-DR,True,19,38776.57,109974.536,1000,90.308,2026,True
r2_10_9,BIH-GWO-DR,True,19,67244.002,124352.548,1000,91.298,2026,True
rc1_10_1,BIH-GWO-DR,True,93,61098.787,121403.753,1000,91.7,2026,True
rc1_10_10,BIH-GWO-DR,True,91,60832.244,126420.497,1000,90.586,2026,True
rc1_10_2,BIH-GWO-DR,True,91,67132.023,131451.725,1000,91.534,2026,True
rc1_10_3,BIH-GWO-DR,True,91,69509.95,121545.563,1000,91.997,2026,True
rc1_10_4,BIH-GWO-DR,True,90,87710.621,117239.719,1000,91.136,2026,True
rc1_10_5,BIH-GWO-DR,True,93,61626.996,123889.403,1000,91.362,2026,True
rc1_10_6,BIH-GWO-DR,True,92,61098.314,123278.481,1000,91.76,2026,True
rc1_10_7,BIH-GWO-DR,True,92,63393.042,118683.296,1000,90.807,2026,True
rc1_10_8,BIH-GWO-DR,True,92,58771.462,128696.254,1000,91.999,2026,True
rc1_10_9,BIH-GWO-DR,True,92,60426.86,129823.586,1000,90.013,2026,True
rc2_10_1,BIH-GWO-DR,True,30,39276.659,184586.581,1000,90.119,2026,True
rc2_10_10,BIH-GWO-DR,True,21,41226.48,129392.961,1000,90.793,2026,True
rc2_10_2,BIH-GWO-DR,True,27,40412.374,152268.066,1000,92.872,2026,True
rc2_10_3,BIH-GWO-DR,True,21,30891.168,112654.271,1000,98.004,2026,True
rc2_10_4,BIH-GWO-DR,True,18,25507.77,86070.684,1000,90.521,2026,True
rc2_10_5,BIH-GWO-DR,True,23,44335.138,136837.341,1000,91.522,2026,True
rc2_10_6,BIH-GWO-DR,True,23,38302.589,141699.573,1000,90.135,2026,True
rc2_10_7,BIH-GWO-DR,True,21,35261.073,128580.681,1000,90.63,2026,True
rc2_10_8,BIH-GWO-DR,True,19,38739.257,118846.972,1000,96.873,2026,True
rc2_10_9,BIH-GWO-DR,True,20,38937.645,123232.21,1000,91.28,2026,True
