instance,algorithm,feasible,vehicles,distance,travel_time,served,runtime_sec,seed,bih_first
c1_10_1,BIH,True,107,47296.991,140535.679,1000,60.706,2026,True
c1_10_10,BIH,True,123,89744.008,184345.874,1000,65.264,2026,True
c1_10_2,BIH,True,98,58203.712,152181.152,1000,66.825,2026,True
c1_10_3,BIH,True,98,73352.658,166828.679,1000,61.948,2026,True
c1_10_4,BIH,True,102,76512.692,171941.775,1000,64.266,2026,True
c1_10_5,BIH,True,115,54791.678,149335.665,1000,88.036,2026,True
c1_10_6,BIH,True,126,62167.759,159456.179,1000,69.725,2026,True
c1_10_7,BIH,True,108,52817.655,144780.175,1000,53.193,2026,True
c1_10_8,BIH,True,122,64559.102,159097.604,1000,54.081,2026,True
c1_10_9,BIH,True,108,64014.981,156686.624,1000,57.646,2026,True
c2_10_1,BIH,True,34,21880.385,117411.515,1000,133.225,2026,True
c2_10_10,BIH,True,38,39321.538,146149.679,1000,117.537,2026,True
c2_10_2,BIH,True,36,48347.116,139805.219,1000,124.463,2026,True
c2_10_3,BIH,True,38,54348.18,145687.2,1000,134.252,2026,True
c2_10_4,BIH,True,33,33637.132,127910.134,1000,139.475,2026,True
c2_10_5,BIH,True,34,23459.318,119681.158,1000,119.705,2026,True
c2_10_6,BIH,True,40,50648.892,144153.473,1000,149.414,2026,True
c2_10_7,BIH,True,42,47477.687,147591.506,1000,148.745,2026,True
c2_10_8,BIH,True,34,33777.111,129832.284,1000,122.659,2026,True
c2_10_9,BIH,True,42,63308.871,162503.159,1000,109.145,2026,True
r1_10_1,BIH,True,103,83337.84,167131.562,1000,58.975,2026,True
r1_10_10,BIH,True,93,91719.939,147884.842,1000,65.382,2026,True
r1_10_2,BIH,True,92,83100.986,140236.823,1000,93.288,2026,True
r1_10_3,BIH,True,92,93988.471,134220.907,1000,120.028,2026,True
r1_10_4,BIH,True,92,100274.407,125454.88,1000,70.849,2026,True
r1_10_5,BIH,True,98,79890.366,158744.727,1000,133.183,2026,True
r1_10_6,BIH,True,92,78983.17,130553.944,1000,178.49,2026,True
r1_10_7,BIH,True,92,90672.777,128513.119,1000,132.961,2026,True
r1_10_8,BIH,True,92,104055.405,124925.937,1000,135.579,2026,True
r1_10_9,BIH,True,96,84951.058,153357.235,1000,136.191,2026,True
r2_10_1,BIH,True,21,73442.538,132868.463,1000,455.447,2026,True
r2_10_10,BIH,True,19,68782.32,122282.947,1000,308.977,2026,True
r2_10_2,BIH,True,19,63157.567,120411.882,1000,324.751,2026,True
r2_10_3,BIH,True,19,49421.878,120730.426,1000,378.237,2026,True
r2_10_4,BIH,True,19,44273.18,71678.847,1000,223.29,2026,True
r2_10_5,BIH,True,19,69610.03,125126.643,1000,197.234,2026,True
r2_10_6,BIH,True,19,65342.109,107341.841,1000,184.371,2026,True
r2_10_7,BIH,True,19,55333.004,119273.698,1000,205.787,2026,True
r2_10_8,BIH,True,19,44200.286,68174.536,1000,227.801,2026,True
r2_10_9,BIH,True,19,67314.855,124389.197,1000,451.58,2026,True
rc1_10_1,BIH,True,94,66177.101,121723.394,1000,68.255,2026,True
rc1_10_10,BIH,True,93,62563.038,127507.363,1000,62.82,2026,True
rc1_10_2,BIH,True,91,75687.829,132180.386,1000,53.34,2026,True
rc1_10_3,BIH,True,91,79779.033,121700.379,1000,69.901,2026,True
rc1_10_4,BIH,True,90,87935.09,118086.395,1000,86.232,2026,True
rc1_10_5,BIH,True,94,66828.563,124990.3,1000,74.323,2026,True
rc1_10_6,BIH,True,95,67032.606,124732.007,1000,78.964,2026,True
rc1_10_7,BIH,True,95,68475.307,125862.923,1000,65.331,2026,True
rc1_10_8,BIH,True,93,61156.929,127980.588,1000,61.044,2026,True
rc1_10_9,BIH,True,93,63164.405,130246.919,1000,62.537,2026,True
rc2_10_1,BIH,True,31,40956.369,190483.203,1000,159.517,2026,True
rc2_10_10,BIH,True,21,42458.61,129289.35,1000,301.559,2026,True
rc2_10_2,BIH,True,27,41936.988,151679.671,1000,449.678,2026,True
rc2_10_3,BIH,True,21,32127.306,108268.078,1000,351.118,2026,True
rc2_10_4,BIH,True,18,26869.473,84131.279,1000,375.674,2026,True
rc2_10_5,BIH,True,23,47969.789,134197.737,1000,474.998,2026,True
rc2_10_6,BIH,True,23,40449.502,143691.795,1000,508.372,2026,True
rc2_10_7,BIH,True,21,36274.13,129840.14,1000,190.844,2026,True
rc2_10_8,BIH,True,19,38866.931,118861.302,1000,286.38,2026,True
rc2_10_9,BIH,True,20,41129.212,122894.836,1000,278.121,2026,True
