instance,algorithm,feasible,vehicles,distance,travel_time,served,runtime_sec,seed,bih_first
c1_10_1,BIH,True,107,47296.991,140535.679,1000,8.047,2026,True
c1_10_1,GWO,True,107,47296.991,140535.679,1000,90.348,2026,True
c1_10_10,BIH,True,123,89744.008,184345.874,1000,9.055,2026,True
c1_10_10,GWO,True,123,89744.008,184345.874,1000,91.382,2026,True
c1_10_2,BIH,True,98,58203.712,152181.152,1000,8.383,2026,True
c1_10_2,GWO,True,98,58203.712,152181.152,1000,95.199,2026,True
c1_10_3,BIH,True,98,73352.658,166828.679,1000,10.371,2026,True
c1_10_3,GWO,True,98,73352.658,166828.679,1000,94.082,2026,True
c1_10_4,BIH,True,102,76512.692,171941.775,1000,10.58,2026,True
c1_10_4,GWO,True,102,76512.692,171941.775,1000,90.25,2026,True
c1_10_5,BIH,True,115,54791.678,149335.665,1000,9.251,2026,True
c1_10_5,GWO,True,115,54791.678,149335.665,1000,91.761,2026,True
c1_10_6,BIH,True,126,62167.759,159456.179,1000,9.015,2026,True
c1_10_6,GWO,True,126,62167.759,159456.179,1000,93.41,2026,True
c1_10_7,BIH,True,108,52817.655,144780.175,1000,9.444,2026,True
c1_10_7,GWO,True,108,52817.655,144780.175,1000,93.536,2026,True
c1_10_8,BIH,True,122,64559.102,159097.604,1000,9.144,2026,True
c1_10_8,GWO,True,122,64559.102,159097.604,1000,93.729,2026,True
c1_10_9,BIH,True,108,64014.981,156686.624,1000,9.479,2026,True
c1_10_9,GWO,True,108,64014.981,156686.624,1000,91.697,2026,True
c2_10_1,BIH,True,34,21880.385,117411.515,1000,21.093,2026,True
c2_10_1,GWO,True,34,21880.385,117411.515,1000,90.575,2026,True
c2_10_10,BIH,True,38,39321.538,146149.679,1000,20.313,2026,True
c2_10_10,GWO,True,38,39321.538,146149.679,1000,93.699,2026,True
c2_10_2,BIH,True,36,48347.116,139805.219,1000,20.374,2026,True
c2_10_2,GWO,True,36,48347.116,139805.219,1000,91.417,2026,True
c2_10_3,BIH,True,38,54348.18,145687.2,1000,22.427,2026,True
c2_10_3,GWO,True,38,54348.18,145687.2,1000,92.788,2026,True
c2_10_4,BIH,True,33,33637.132,127910.134,1000,23.289,2026,True
c2_10_4,GWO,True,33,33637.132,127910.134,1000,91.659,2026,True
c2_10_5,BIH,True,34,23459.318,119681.158,1000,20.528,2026,True
c2_10_5,GWO,True,34,23459.318,119681.158,1000,92.136,2026,True
c2_10_6,BIH,True,40,50648.892,144153.473,1000,18.86,2026,True
c2_10_6,GWO,True,40,50648.892,144153.473,1000,92.76,2026,True
c2_10_7,BIH,True,42,47477.687,147591.506,1000,17.738,2026,True
c2_10_7,GWO,True,42,47477.687,147591.506,1000,91.001,2026,True
c2_10_8,BIH,True,34,33777.111,129832.284,1000,20.395,2026,True
c2_10_8,GWO,True,34,33777.111,129832.284,1000,94.083,2026,True
c2_10_9,BIH,True,42,63308.871,162503.159,1000,19.087,2026,True
c2_10_9,GWO,True,42,63308.871,162503.159,1000,93.875,2026,True
r1_10_1,BIH,True,103,83337.84,167131.562,1000,10.603,2026,True
r1_10_1,GWO,True,103,83337.84,167131.562,1000,90.079,2026,True
r1_10_10,BIH,True,93,91719.939,147884.842,1000,11.342,2026,True
r1_10_10,GWO,True,93,91719.939,147884.842,1000,90.447,2026,True
r1_10_2,BIH,True,92,83100.986,140236.823,1000,11.21,2026,True
r1_10_2,GWO,True,92,83100.986,140236.823,1000,90.561,2026,True
r1_10_3,BIH,True,92,93988.471,134220.907,1000,11.658,2026,True
r1_10_3,GWO,True,92,93988.471,134220.907,1000,93.623,2026,True
r1_10_4,BIH,True,92,100274.407,125454.88,1000,11.878,2026,True
r1_10_4,GWO,True,92,100274.407,125454.88,1000,92.918,2026,True
r1_10_5,BIH,True,98,79890.366,158744.727,1000,11.078,2026,True
r1_10_5,GWO,True,98,79890.366,158744.727,1000,94.476,2026,True
r1_10_6,BIH,True,92,78983.17,130553.944,1000,11.663,2026,True
r1_10_6,GWO,True,92,78983.17,130553.944,1000,90.644,2026,True
r1_10_7,BIH,True,92,90672.777,128513.119,1000,12.038,2026,True
r1_10_7,GWO,True,92,90672.777,128513.119,1000,92.387,2026,True
r1_10_8,BIH,True,92,104055.405,124925.937,1000,12.495,2026,True
