instance,algorithm,route_id,sequence
c1_10_5,ABC,1,0-183-615-774-119-610-880-703-524-0
c1_10_5,ABC,2,0-36-488-808-926-964-988-277-888-923-355-0
c1_10_5,ABC,3,0-924-638-585-796-951-996-0
c1_10_5,ABC,4,0-968-745-218-371-643-143-844-956-661-0
c1_10_5,ABC,5,0-933-581-52-335-498-438-315-518-0
c1_10_5,ABC,6,0-544-667-714-561-0
c1_10_5,ABC,7,0-473-109-77-417-424-90-395-519-728-65-186-0
c1_10_5,ABC,8,0-997-69-224-312-0
c1_10_5,ABC,9,0-725-130-612-904-958-505-142-0
c1_10_5,ABC,10,0-155-72-573-337-613-947-751-0
c1_10_5,ABC,11,0-800-278-211-359-442-804-715-824-0
c1_10_5,ABC,12,0-963-167-542-928-952-619-446-396-733-15-73-741-469-0
c1_10_5,ABC,13,0-856-985-478-343-279-31-276-41-0
c1_10_5,ABC,14,0-660-306-504-456-565-756-405-548-0
c1_10_5,ABC,15,0-577-533-329-249-945-20-46-689-138-905-225-0
c1_10_5,ABC,16,0-623-1-458-166-515-307-687-676-0
c1_10_5,ABC,17,0-87-836-694-590-0
c1_10_5,ABC,18,0-758-884-136-410-5-477-398-0
c1_10_5,ABC,19,0-981-125-954-404-39-22-311-0
c1_10_5,ABC,20,0-819-66-778-604-742-786-869-0
c1_10_5,ABC,21,0-663-511-308-191-712-898-979-915-732-0
c1_10_5,ABC,22,0-815-658-656-855-13-794-971-628-0
c1_10_5,ABC,23,0-914-362-621-969-213-251-455-252-86-485-0
c1_10_5,ABC,24,0-116-813-246-129-8-491-23-0
c1_10_5,ABC,25,0-902-394-40-463-586-906-541-174-522-0
c1_10_5,ABC,26,0-597-238-287-772-506-626-471-260-0
c1_10_5,ABC,27,0-388-941-520-357-686-243-327-348-0
c1_10_5,ABC,28,0-543-441-679-943-723-920-886-59-140-0
c1_10_5,ABC,29,0-3-726-801-987-466-193-670-646-263-0
c1_10_5,ABC,30,0-294-760-272-321-353-983-499-0
c1_10_5,ABC,31,0-148-562-291-57-131-593-953-560-418-159-374-0
c1_10_5,ABC,32,0-652-823-472-393-821-150-383-695-297-0
c1_10_5,ABC,33,0-854-599-704-702-420-566-21-0
c1_10_5,ABC,34,0-32-305-30-900-286-0
c1_10_5,ABC,35,0-545-999-282-298-781-227-850-828-433-567-161-71-0
c1_10_5,ABC,36,0-648-949-197-767-214-198-64-589-0
c1_10_5,ABC,37,0-231-734-228-107-776-162-992-583-0
c1_10_5,ABC,38,0-977-616-352-600-870-274-493-0
c1_10_5,ABC,39,0-755-250-629-829-523-117-768-657-863-330-248-826-0
c1_10_5,ABC,40,0-435-336-254-152-112-157-29-757-101-392-453-860-283-221-0
c1_10_5,ABC,41,0-411-285-986-967-474-18-105-97-919-666-0
c1_10_5,ABC,42,0-780-931-151-137-998-163-26-665-340-0
c1_10_5,ABC,43,0-212-38-324-421-369-261-838-697-814-929-0
c1_10_5,ABC,44,0-783-611-99-51-591-141-239-220-55-883-637-848-647-0
c1_10_5,ABC,45,0-984-896-244-497-48-935-484-653-975-434-765-0
c1_10_5,ABC,46,0-122-415-627-678-461-47-773-389-234-0
c1_10_5,ABC,47,0-563-44-4-17-9-89-688-0
c1_10_5,ABC,48,0-115-476-788-528-132-206-0
c1_10_5,ABC,49,0-190-127-682-475-235-596-749-429-0
c1_10_5,ABC,50,0-106-158-81-385-537-124-816-412-160-0
c1_10_5,ABC,51,0-655-976-70-495-199-737-873-576-0
c1_10_5,ABC,52,0-386-792-766-930-644-25-1000-0
c1_10_5,ABC,53,0-293-309-867-779-908-595-450-877-753-0
c1_10_5,ABC,54,0-451-605-837-104-494-354-555-342-558-549-0
c1_10_5,ABC,55,0-6-28-210-574-118-897-202-547-0
c1_10_5,ABC,56,0-380-922-938-818-910-27-189-153-811-0
c1_10_5,ABC,57,0-364-571-948-91-96-378-341-75-713-185-0
c1_10_5,ABC,58,0-208-425-771-78-893-0
c1_10_5,ABC,59,0-582-529-437-14-370-827-832-270-171-146-0
c1_10_5,ABC,60,0-382-351-708-460-852-428-907-0
c1_10_5,ABC,61,0-194-299-11-721-253-651-207-0
c1_10_5,ABC,62,0-487-940-496-588-439-266-0
c1_10_5,ABC,63,0-764-92-200-846-634-624-201-445-517-454-0
c1_10_5,ABC,64,0-859-633-262-63-618-632-366-192-12-0
c1_10_5,ABC,65,0-960-810-620-959-841-580-304-480-684-833-56-0
c1_10_5,ABC,66,0-322-705-316-462-698-559-172-569-805-878-0
c1_10_5,ABC,67,0-402-365-120-521-0
c1_10_5,ABC,68,0-508-255-899-289-572-950-423-85-554-233-881-650-0
c1_10_5,ABC,69,0-390-313-481-74-876-795-114-513-0
c1_10_5,ABC,70,0-356-736-34-912-61-744-911-680-946-0
