instance,algorithm,route_id,sequence
r2_10_8,ABC,1,0-313-220-993-803-898-984-72-235-469-983-368-899-760-33-61-968-543-172-391-301-175-194-208-466-239-523-613-182-909-114-824-706-136-254-233-903-763-477-422-753-540-515-949-844-127-565-190-32-695-537-441-642-652-0
r2_10_8,ABC,2,0-704-490-946-349-806-89-59-204-986-512-446-325-847-661-63-457-659-676-636-274-776-538-783-357-319-450-630-877-794-29-342-975-532-688-102-404-508-956-335-96-200-121-189-745-259-356-529-23-577-873-716-87-438-625-944-710-0
r2_10_8,ABC,3,0-113-454-73-594-269-481-977-832-228-405-699-280-879-815-561-20-799-914-731-53-24-592-863-388-621-462-929-615-38-352-159-791-34-181-989-773-363-643-373-217-500-148-620-488-717-708-496-742-234-751-74-444-926-589-157-679-507-27-888-0
r2_10_8,ABC,4,0-395-108-602-866-118-697-932-51-16-52-918-634-796-777-305-505-981-461-628-309-339-609-985-310-104-485-737-663-698-278-445-599-876-687-627-321-384-759-13-638-771-762-633-291-768-106-47-514-125-21-979-978-566-822-930-338-896-0
r2_10_8,ABC,5,0-616-246-875-171-264-549-729-788-996-811-635-417-867-588-711-795-77-367-79-64-947-943-407-236-240-527-10-774-891-906-460-169-504-173-470-326-463-8-845-545-696-967-868-558-394-859-302-392-714-854-964-290-0
r2_10_8,ABC,6,0-819-439-128-164-817-722-554-341-211-821-573-334-285-755-691-840-836-4-890-752-533-161-307-317-498-360-143-399-448-516-401-115-322-858-501-303-655-593-557-665-924-920-916-272-88-892-440-728-735-93-646-458-907-787-411-0
r2_10_8,ABC,7,0-78-424-443-853-948-65-344-416-98-724-923-188-800-574-40-559-242-9-353-614-972-958-434-123-86-156-555-85-935-247-18-551-359-713-419-982-902-213-66-207-270-472-881-597-779-230-430-631-146-901-601-17-883-48-232-140-0
r2_10_8,ABC,8,0-686-465-941-129-618-813-249-657-974-882-135-954-46-195-122-263-837-509-600-82-151-153-428-223-908-886-92-396-15-26-425-81-673-215-478-820-486-619-960-480-570-117-939-418-966-955-304-277-931-343-0
r2_10_8,ABC,9,0-231-510-562-149-865-110-758-572-431-282-271-641-358-109-945-162-940-28-893-584-719-178-75-894-637-119-856-651-298-412-531-645-253-831-746-701-497-258-970-789-841-995-579-45-765-915-345-748-387-563-327-1000-587-889-823-0
r2_10_8,ABC,10,0-747-226-578-163-468-176-333-833-377-111-209-810-764-212-790-933-292-49-804-174-398-142-674-62-44-721-30-362-375-238-591-518-617-166-328-331-383-449-650-447-324-297-378-571-838-245-11-340-552-928-403-715-459-904-897-700-0
r2_10_8,ABC,11,0-502-55-612-256-590-769-878-91-25-770-829-669-834-105-35-97-749-451-314-682-99-864-680-988-483-999-197-276-560-517-766-843-218-801-997-192-827-202-456-54-7-689-835-56-57-629-318-654-640-12-120-963-666-814-756-473-962-860-0
r2_10_8,ABC,12,0-493-380-808-936-355-874-757-60-959-177-575-785-732-196-255-736-610-910-312-869-754-222-734-647-433-857-133-925-851-158-784-267-138-905-971-300-491-2-952-14-792-990-206-308-720-693-885-586-379-262-961-812-513-101-0
r2_10_8,ABC,13,0-152-825-862-622-900-409-534-432-683-455-243-366-672-656-84-842-595-147-180-225-938-406-767-709-266-257-980-71-855-705-919-861-530-150-544-126-780-288-522-198-382-569-296-413-489-346-564-927-550-604-726-511-420-998-248-684-0
r2_10_8,ABC,14,0-435-214-183-453-976-90-221-199-872-260-5-351-677-205-846-261-69-730-733-347-871-884-969-408-311-68-429-185-370-598-67-475-83-546-723-786-648-541-70-524-644-611-953-991-43-778-293-668-740-626-492-495-482-649-186-992-337-393-168-330-0
r2_10_8,ABC,15,0-332-112-201-479-374-252-410-219-798-268-639-761-369-797-94-632-690-528-965-828-427-224-712-525-141-521-922-237-437-41-295-826-22-536-911-42-160-556-130-476-506-464-678-124-134-895-144-703-315-155-474-1-585-265-484-354-750-681-389-0
r2_10_8,ABC,16,0-37-471-306-581-414-80-275-743-781-499-526-670-376-193-608-987-423-299-718-216-830-467-361-675-365-685-31-568-623-809-694-227-744-519-937-772-287-725-664-727-707-567-286-653-957-386-660-607-132-596-244-103-241-671-0
r2_10_8,ABC,17,0-170-539-250-849-154-203-494-372-281-210-323-702-131-284-667-426-741-973-397-39-329-76-279-816-283-385-107-934-782-400-535-273-913-605-738-348-692-3-145-603-442-942-793-167-289-582-229-371-658-852-917-436-320-58-542-0
r2_10_8,ABC,18,0-487-880-251-520-19-921-390-116-839-50-624-576-739-850-503-870-402-100-165-137-606-805-415-336-381-951-818-553-775-994-421-662-36-887-187-583-364-848-139-807-548-912-294-316-184-179-452-802-547-0
r2_10_8,ABC,19,0-95-350-191-580-6-950-0
