instance,algorithm,route_id,sequence
rc2_10_2,ABC,1,0-176-477-230-407-779-234-206-660-386-252-991-314-248-453-501-763-5-944-753-754-607-808-959-342-800-947-885-827-733-530-44-563-916-457-621-174-204-422-343-816-914-266-572-254-418-488-80-510-614-717-687-372-450-411-209-654-0
rc2_10_2,ABC,2,0-793-244-272-929-275-792-542-271-581-161-374-65-791-615-830-822-45-803-805-737-102-586-634-880-258-467-427-292-684-425-979-904-302-408-116-818-30-817-43-742-251-868-838-911-126-610-484-464-922-0
rc2_10_2,ABC,3,0-451-871-547-437-349-538-955-967-976-659-59-350-405-285-755-472-210-537-201-516-483-603-89-303-548-123-260-683-486-889-678-214-727-0
rc2_10_2,ABC,4,0-228-771-101-393-402-87-240-327-932-107-10-657-238-549-534-710-37-148-330-777-918-794-194-520-277-378-324-39-758-498-459-597-722-178-712-630-262-938-58-892-432-29-0
rc2_10_2,ABC,5,0-864-695-706-476-584-346-578-760-859-568-169-441-564-849-852-715-810-981-190-543-125-750-632-166-413-410-435-926-580-263-701-167-990-336-377-504-969-784-952-394-382-97-811-907-511-64-0
rc2_10_2,ABC,6,0-114-850-481-63-931-960-532-545-297-724-71-256-828-671-582-948-104-3-949-468-598-200-848-95-98-24-655-658-465-1-366-376-858-120-625-177-689-182-995-842-212-566-310-479-31-743-663-898-921-759-636-941-373-895-0
rc2_10_2,ABC,7,0-261-363-162-135-38-360-300-52-725-298-401-768-672-875-888-591-117-716-552-950-576-637-345-813-963-594-331-977-85-399-172-400-620-604-444-136-222-384-143-66-192-517-588-541-93-458-90-296-0
rc2_10_2,ABC,8,0-644-927-316-787-533-264-325-720-528-676-474-762-21-709-20-180-638-861-22-553-287-901-819-721-142-391-982-546-558-103-978-804-643-529-997-820-877-527-16-646-446-611-958-934-442-144-357-436-2-17-283-857-18-0
rc2_10_2,ABC,9,0-647-508-395-305-613-449-40-635-134-618-930-937-307-496-993-421-75-902-575-243-645-319-562-438-313-396-462-940-884-94-870-322-883-736-565-519-159-769-866-323-711-326-767-115-0
rc2_10_2,ABC,10,0-273-909-894-216-629-602-806-68-233-954-891-471-731-573-188-690-599-351-896-219-665-35-493-592-91-482-840-910-936-202-398-83-893-387-246-279-589-966-0
rc2_10_2,ABC,11,0-14-845-304-355-77-627-900-47-887-988-601-152-728-100-160-139-19-535-513-696-505-359-899-119-348-255-551-641-972-744-913-469-587-417-569-381-163-367-945-497-642-996-539-666-0
rc2_10_2,ABC,12,0-225-354-855-984-334-60-869-147-835-383-847-987-268-664-593-703-309-739-335-782-606-624-62-812-783-397-924-980-747-76-280-138-761-734-622-208-106-434-485-831-802-460-912-250-338-795-0
rc2_10_2,ABC,13,0-741-88-11-315-105-702-179-774-973-821-211-55-826-237-863-184-392-4-332-631-224-67-957-974-697-475-503-862-311-154-906-487-370-440-679-509-189-388-799-765-344-0
rc2_10_2,ABC,14,0-778-426-933-612-51-1000-732-751-844-908-364-856-809-231-682-456-829-195-110-183-337-708-122-454-873-965-320-288-571-249-951-112-470-129-781-247-412-191-36-207-226-121-557-406-108-675-999-361-132-0
rc2_10_2,ABC,15,0-82-837-920-876-281-448-419-585-328-752-815-860-656-939-290-265-807-651-524-8-834-113-141-213-72-443-499-928-843-649-718-495-0
rc2_10_2,ABC,16,0-375-227-155-301-81-515-428-522-874-245-170-445-521-23-455-846-282-198-223-274-380-429-540-633-652-205-33-232-673-502-69-291-235-824-239-797-379-674-693-390-352-492-514-713-341-956-329-738-544-518-685-430-181-801-556-389-494-989-0
rc2_10_2,ABC,17,0-814-523-171-267-776-841-670-903-175-699-118-796-490-667-561-953-236-42-749-669-478-595-790-757-0
rc2_10_2,ABC,18,0-26-133-764-707-567-691-416-962-56-773-512-473-897-577-992-284-269-756-146-986-215-971-560-70-491-798-49-968-662-692-854-983-0
rc2_10_2,ABC,19,0-27-312-786-694-50-286-772-559-526-415-28-700-34-730-935-187-294-99-92-339-423-186-54-158-714-961-605-420-53-6-124-293-686-0
rc2_10_2,ABC,20,0-878-867-628-668-25-833-276-609-157-740-746-626-111-340-770-619-946-583-130-295-785-140-128-185-257-168-608-221-735-0
rc2_10_2,ABC,21,0-362-853-886-905-554-489-318-197-461-9-704-61-507-347-745-590-149-0
rc2_10_2,ABC,22,0-923-414-203-424-823-788-306-356-789-333-942-832-127-241-193-879-882-688-766-86-73-79-156-964-151-555-270-836-994-317-371-570-403-0
rc2_10_2,ABC,23,0-579-321-74-96-452-365-998-242-165-41-616-278-131-600-775-677-447-650-648-196-385-259-48-661-726-531-780-57-150-985-729-865-890-299-0
rc2_10_2,ABC,24,0-748-137-596-653-640-851-881-943-919-7-199-970-872-574-525-145-153-109-723-500-0
rc2_10_2,ABC,25,0-220-705-925-839-917-466-308-698-173-623-433-536-506-550-975-12-32-358-46-0
rc2_10_2,ABC,26,0-915-639-253-719-681-289-404-353-164-84-439-480-680-617-217-218-78-368-13-229-369-825-409-463-431-15-0
