instance,algorithm,route_id,sequence
c1_10_5,ACO,1,0-183-615-774-318-843-942-885-609-877-753-0
c1_10_5,ACO,2,0-36-488-808-926-964-988-277-888-923-355-0
c1_10_5,ACO,3,0-924-638-714-561-0
c1_10_5,ACO,4,0-968-745-218-371-643-143-844-956-661-0
c1_10_5,ACO,5,0-581-933-52-335-498-438-22-311-0
c1_10_5,ACO,6,0-667-544-211-359-442-804-715-824-0
c1_10_5,ACO,7,0-473-109-77-417-424-90-395-519-728-65-186-0
c1_10_5,ACO,8,0-997-69-224-796-951-495-737-0
c1_10_5,ACO,9,0-130-725-612-904-855-13-78-794-971-628-376-817-0
c1_10_5,ACO,10,0-155-72-573-337-117-768-239-273-717-637-848-647-0
c1_10_5,ACO,11,0-800-278-511-308-191-712-898-979-915-0
c1_10_5,ACO,12,0-963-167-542-521-420-566-21-0
c1_10_5,ACO,13,0-856-985-478-14-645-195-769-0
c1_10_5,ACO,14,0-660-306-504-766-343-930-756-241-230-169-0
c1_10_5,ACO,15,0-577-116-246-129-8-491-150-524-0
c1_10_5,ACO,16,0-623-1-70-496-166-515-307-687-676-0
c1_10_5,ACO,17,0-836-87-694-590-312-286-0
c1_10_5,ACO,18,0-758-884-520-410-5-477-398-0
c1_10_5,ACO,19,0-981-125-954-404-39-782-256-893-0
c1_10_5,ACO,20,0-819-66-679-943-723-920-383-695-297-0
c1_10_5,ACO,21,0-663-329-938-818-910-27-189-153-811-0
c1_10_5,ACO,22,0-815-658-656-771-761-168-592-464-281-391-0
c1_10_5,ACO,23,0-914-362-621-969-213-251-455-252-86-485-0
c1_10_5,ACO,24,0-533-563-986-945-20-46-689-138-905-225-0
c1_10_5,ACO,25,0-394-902-40-463-586-906-541-886-174-522-0
c1_10_5,ACO,26,0-238-597-287-772-506-626-471-260-0
c1_10_5,ACO,27,0-941-388-272-321-353-983-499-0
c1_10_5,ACO,28,0-441-543-778-604-742-227-850-828-433-567-161-71-862-0
c1_10_5,ACO,29,0-726-3-801-466-193-31-276-41-0
c1_10_5,ACO,30,0-760-173-151-137-670-646-263-0
c1_10_5,ACO,31,0-562-148-291-600-870-786-274-869-0
c1_10_5,ACO,32,0-294-582-300-965-740-677-921-989-917-0
c1_10_5,ACO,33,0-652-823-258-317-958-505-142-0
c1_10_5,ACO,34,0-599-854-613-947-588-439-751-0
c1_10_5,ACO,35,0-813-411-249-119-610-23-0
c1_10_5,ACO,36,0-32-305-30-136-900-644-25-1000-0
c1_10_5,ACO,37,0-999-545-282-298-781-821-493-0
c1_10_5,ACO,38,0-648-949-197-767-214-198-64-589-0
c1_10_5,ACO,39,0-734-755-458-738-807-314-770-617-0
c1_10_5,ACO,40,0-977-705-316-678-461-763-603-0
c1_10_5,ACO,41,0-231-783-640-861-339-457-748-325-673-735-0
c1_10_5,ACO,42,0-336-435-254-152-112-157-29-757-101-392-453-860-283-221-0
c1_10_5,ACO,43,0-285-380-4-17-9-89-18-105-97-919-666-0
c1_10_5,ACO,44,0-780-931-806-710-622-450-540-0
c1_10_5,ACO,45,0-38-212-324-421-369-261-838-697-814-929-0
c1_10_5,ACO,46,0-984-896-244-497-48-935-484-653-975-434-765-0
c1_10_5,ACO,47,0-415-616-627-462-698-559-172-569-310-0
c1_10_5,ACO,48,0-122-382-50-675-822-459-830-872-903-750-500-0
c1_10_5,ACO,49,0-115-476-788-574-266-0
c1_10_5,ACO,50,0-190-127-682-475-235-596-749-429-0
c1_10_5,ACO,51,0-250-508-798-51-591-141-657-863-330-248-826-0
c1_10_5,ACO,52,0-106-158-81-385-537-124-816-412-160-0
c1_10_5,ACO,53,0-976-655-704-702-199-0
c1_10_5,ACO,54,0-386-792-357-686-243-327-348-0
c1_10_5,ACO,55,0-293-309-928-952-619-446-396-733-15-73-0
c1_10_5,ACO,56,0-451-605-980-210-118-897-202-547-0
c1_10_5,ACO,57,0-6-28-743-494-354-555-342-558-549-0
c1_10_5,ACO,58,0-364-571-219-170-490-16-669-731-375-701-436-0
c1_10_5,ACO,59,0-611-487-629-829-523-873-576-0
c1_10_5,ACO,60,0-208-425-149-332-345-936-739-409-0
c1_10_5,ACO,61,0-299-84-867-779-908-595-468-847-916-0
c1_10_5,ACO,62,0-585-228-107-776-162-992-583-0
c1_10_5,ACO,63,0-940-255-899-289-572-950-423-85-554-233-881-0
c1_10_5,ACO,64,0-764-92-501-683-344-426-799-594-503-399-98-82-0
c1_10_5,ACO,65,0-529-479-437-719-204-37-430-802-550-0
c1_10_5,ACO,66,0-960-810-620-959-841-580-304-480-684-833-56-0
c1_10_5,ACO,67,0-922-736-34-912-61-744-911-680-946-0
c1_10_5,ACO,68,0-351-784-460-852-428-907-732-0
c1_10_5,ACO,69,0-402-365-120-996-405-548-0
c1_10_5,ACO,70,0-194-175-602-546-759-377-296-995-0
c1_10_5,ACO,71,0-633-859-262-63-618-632-366-192-12-0
c1_10_5,ACO,72,0-44-356-472-393-967-474-688-315-518-0
c1_10_5,ACO,73,0-390-313-481-593-953-560-418-159-374-0
c1_10_5,ACO,74,0-76-108-470-93-203-716-706-875-693-762-601-232-0
c1_10_5,ACO,75,0-849-267-837-104-440-512-397-939-123-552-0
c1_10_5,ACO,76,0-35-184-955-607-370-827-832-270-171-146-0
c1_10_5,ACO,77,0-982-144-373-692-133-913-207-0
c1_10_5,ACO,78,0-181-937-407-102-934-720-126-265-2-53-62-0
c1_10_5,ACO,79,0-303-535-226-671-978-851-134-358-0
c1_10_5,ACO,80,0-322-301-564-320-360-215-630-80-236-264-0
c1_10_5,ACO,81,0-268-775-973-188-527-245-793-636-147-747-0
c1_10_5,ACO,82,0-722-384-326-334-100-414-889-724-379-525-0
c1_10_5,ACO,83,0-890-449-11-721-253-651-741-469-0
c1_10_5,ACO,84,0-789-553-103-331-972-974-422-944-401-579-538-0
c1_10_5,ACO,85,0-532-95-209-709-991-372-894-672-641-0
c1_10_5,ACO,86,0-879-328-200-846-634-624-201-445-517-454-156-0
c1_10_5,ACO,87,0-962-578-7-206-427-67-685-0
c1_10_5,ACO,88,0-957-164-111-551-94-539-891-892-507-0
c1_10_5,ACO,89,0-785-363-45-68-575-295-180-302-187-19-0
c1_10_5,ACO,90,0-631-901-909-259-319-145-803-165-128-691-668-0
c1_10_5,ACO,91,0-570-681-948-91-857-510-0
c1_10_5,ACO,92,0-842-708-47-773-389-0
c1_10_5,ACO,93,0-182-467-333-639-229-730-88-659-110-42-874-0
c1_10_5,ACO,94,0-840-368-654-918-530-444-699-59-140-0
c1_10_5,ACO,95,0-825-54-998-163-26-665-340-0
c1_10_5,ACO,96,0-707-323-242-419-179-831-961-587-58-290-0
c1_10_5,ACO,97,0-406-33-74-876-795-114-513-0
c1_10_5,ACO,98,0-483-139-531-177-754-700-135-791-0
c1_10_5,ACO,99,0-482-797-990-584-60-809-993-864-790-280-43-0
c1_10_5,ACO,100,0-820-834-557-381-271-338-895-416-284-805-878-234-0
c1_10_5,ACO,101,0-777-536-121-966-635-247-113-452-448-367-347-83-0
c1_10_5,ACO,102,0-534-99-10-649-556-598-220-55-883-650-0
c1_10_5,ACO,103,0-492-350-882-400-752-269-275-865-75-713-185-0
c1_10_5,ACO,104,0-718-932-868-154-292-696-205-746-514-0
c1_10_5,ACO,105,0-711-403-970-96-378-516-341-431-606-0
c1_10_5,ACO,106,0-787-853-432-727-288-835-858-361-839-608-994-447-0
c1_10_5,ACO,107,0-79-664-49-489-413-866-887-408-690-812-614-0
c1_10_5,ACO,108,0-257-502-222-927-509-465-196-674-871-662-642-0
c1_10_5,ACO,109,0-625-346-443-0
c1_10_5,ACO,110,0-352-57-131-880-703-0
c1_10_5,ACO,111,0-987-456-565-279-0
c1_10_5,ACO,112,0-486-528-132-925-526-223-24-217-568-0
c1_10_5,ACO,113,0-729-240-216-349-178-237-176-845-387-0
