instance,algorithm,route_id,sequence
r1_10_6,ACO,1,0-110-486-706-931-292-458-268-326-974-598-17-535-711-0
r1_10_6,ACO,2,0-854-726-577-483-443-623-798-162-1-980-0
r1_10_6,ACO,3,0-487-911-141-736-438-922-734-509-827-119-0
r1_10_6,ACO,4,0-14-201-38-126-41-482-396-103-952-0
r1_10_6,ACO,5,0-213-489-517-651-593-45-959-495-571-759-0
r1_10_6,ACO,6,0-775-697-893-607-588-179-867-242-69-609-985-214-0
r1_10_6,ACO,7,0-26-299-459-465-660-580-332-10-661-129-589-0
r1_10_6,ACO,8,0-667-68-675-645-605-720-170-202-621-537-837-436-0
r1_10_6,ACO,9,0-74-21-986-557-672-713-954-196-4-826-810-0
r1_10_6,ACO,10,0-695-802-876-154-115-187-49-587-271-360-0
r1_10_6,ACO,11,0-28-881-799-457-161-817-757-779-412-905-150-18-15-42-0
r1_10_6,ACO,12,0-235-117-534-813-307-666-305-424-525-325-733-0
r1_10_6,ACO,13,0-704-873-59-24-224-321-484-353-909-340-0
r1_10_6,ACO,14,0-932-606-148-411-770-302-151-79-63-106-0
r1_10_6,ACO,15,0-673-703-313-435-617-680-473-691-194-0
r1_10_6,ACO,16,0-819-890-515-963-595-930-400-185-330-0
r1_10_6,ACO,17,0-1000-394-596-190-717-843-956-685-426-723-792-707-331-0
r1_10_6,ACO,18,0-650-372-814-950-124-760-972-526-522-479-923-349-0
r1_10_6,ACO,19,0-289-616-95-846-403-98-507-227-329-303-429-821-366-864-0
r1_10_6,ACO,20,0-89-928-250-590-116-130-405-475-523-998-0
r1_10_6,ACO,21,0-710-943-35-159-36-221-689-344-505-572-318-444-173-610-0
r1_10_6,ACO,22,0-377-212-29-401-657-350-863-647-0
r1_10_6,ACO,23,0-804-138-820-934-296-758-254-449-499-256-176-414-0
r1_10_6,ACO,24,0-223-849-903-825-180-579-490-34-420-287-217-0
r1_10_6,ACO,25,0-746-858-156-937-71-896-552-556-801-197-638-844-0
r1_10_6,ACO,26,0-77-992-700-901-856-566-982-859-380-22-830-0
r1_10_6,ACO,27,0-463-209-679-54-622-540-464-114-735-560-255-0
r1_10_6,ACO,28,0-361-140-337-409-248-583-498-265-829-290-0
r1_10_6,ACO,29,0-708-66-365-888-373-853-281-800-30-441-338-398-0
r1_10_6,ACO,30,0-308-462-897-744-581-520-121-468-659-32-284-481-88-0
r1_10_6,ACO,31,0-983-276-835-164-644-374-440-548-811-355-0
r1_10_6,ACO,32,0-696-899-995-727-334-389-132-913-381-635-65-0
r1_10_6,ACO,33,0-692-339-273-165-914-785-965-955-941-568-0
r1_10_6,ACO,34,0-654-677-418-663-432-545-413-352-470-239-0
r1_10_6,ACO,35,0-872-536-188-714-756-100-351-406-935-314-291-13-0
r1_10_6,ACO,36,0-86-345-629-553-748-563-755-884-627-31-252-701-393-591-0
r1_10_6,ACO,37,0-73-754-737-367-312-341-543-824-62-259-205-739-0
r1_10_6,ACO,38,0-838-640-335-740-724-33-427-500-415-997-0
r1_10_6,ACO,39,0-597-136-199-608-220-742-681-518-145-0
r1_10_6,ACO,40,0-752-936-91-984-508-891-773-232-149-668-0
r1_10_6,ACO,41,0-152-910-732-924-870-454-797-94-812-524-471-921-0
r1_10_6,ACO,42,0-979-155-402-210-120-225-111-781-948-0
r1_10_6,ACO,43,0-448-573-222-113-258-902-315-807-48-416-966-765-0
r1_10_6,ACO,44,0-702-628-107-388-488-134-791-275-491-999-240-976-0
r1_10_6,ACO,45,0-301-198-725-988-575-991-70-778-181-47-0
r1_10_6,ACO,46,0-511-879-533-631-78-776-425-102-437-5-44-772-123-0
r1_10_6,ACO,47,0-249-875-395-630-328-343-43-125-554-678-639-633-0
r1_10_6,ACO,48,0-539-80-50-324-211-439-946-327-293-178-57-878-282-0
r1_10_6,ACO,49,0-620-652-642-624-892-564-576-542-766-153-871-987-0
r1_10_6,ACO,50,0-808-582-208-476-182-777-915-634-625-51-729-0
r1_10_6,ACO,51,0-64-417-684-793-37-300-218-60-204-728-833-565-612-996-694-0
r1_10_6,ACO,52,0-496-263-243-379-977-958-375-251-880-390-371-0
r1_10_6,ACO,53,0-229-294-207-822-749-228-191-146-912-578-771-0
r1_10_6,ACO,54,0-216-127-93-322-611-787-745-510-186-72-0
r1_10_6,ACO,55,0-342-929-722-19-174-480-175-118-7-391-358-0
r1_10_6,ACO,56,0-648-269-109-399-67-869-676-104-887-257-0
r1_10_6,ACO,57,0-868-839-169-359-467-193-317-90-584-105-519-0
r1_10_6,ACO,58,0-378-953-975-592-131-561-20-55-709-270-368-0
r1_10_6,ACO,59,0-230-184-784-245-295-546-653-646-87-422-794-0
r1_10_6,ACO,60,0-27-39-200-354-786-364-410-356-938-503-385-895-383-865-0
r1_10_6,ACO,61,0-262-158-316-604-387-279-942-795-674-968-172-61-0
r1_10_6,ACO,62,0-636-514-81-643-362-780-277-101-845-0
r1_10_6,ACO,63,0-705-261-567-693-768-769-16-3-860-664-0
r1_10_6,ACO,64,0-56-8-168-195-538-46-809-978-989-601-0
r1_10_6,ACO,65,0-453-551-816-166-964-836-52-392-92-452-0
r1_10_6,ACO,66,0-544-442-637-143-2-945-461-898-687-478-0
r1_10_6,ACO,67,0-764-939-789-128-11-907-466-238-192-850-237-445-0
r1_10_6,ACO,68,0-75-25-431-550-469-951-280-920-662-85-682-370-803-0
r1_10_6,ACO,69,0-236-649-570-555-506-348-494-904-163-782-831-970-0
r1_10_6,ACO,70,0-386-731-805-962-139-973-108-320-559-877-0
r1_10_6,ACO,71,0-493-719-382-882-58-832-940-446-492-528-323-0
r1_10_6,ACO,72,0-874-304-347-906-861-215-716-219-806-419-828-40-0
r1_10_6,ACO,73,0-404-430-715-990-603-855-614-857-521-144-632-0
r1_10_6,ACO,74,0-9-428-157-529-665-231-135-84-586-264-0
r1_10_6,ACO,75,0-750-594-6-266-949-531-233-421-730-969-0
r1_10_6,ACO,76,0-336-585-751-527-981-203-369-670-688-0
r1_10_6,ACO,77,0-333-234-160-885-246-599-889-847-761-516-0
r1_10_6,ACO,78,0-841-171-918-834-926-840-908-450-346-451-669-0
r1_10_6,ACO,79,0-357-558-477-774-434-76-600-311-823-244-0
r1_10_6,ACO,80,0-433-298-363-615-310-783-384-253-0
r1_10_6,ACO,81,0-698-504-574-961-886-167-285-177-23-274-919-0
r1_10_6,ACO,82,0-683-502-747-309-147-472-993-815-137-456-226-447-0
r1_10_6,ACO,83,0-944-848-994-283-916-894-267-297-541-866-0
r1_10_6,ACO,84,0-738-619-12-763-933-851-272-474-671-0
r1_10_6,ACO,85,0-376-241-818-602-562-83-288-397-512-485-0
r1_10_6,ACO,86,0-690-460-183-97-925-133-862-957-883-947-0
r1_10_6,ACO,87,0-408-641-99-900-852-960-497-286-112-658-917-513-699-0
r1_10_6,ACO,88,0-686-767-260-842-189-423-206-549-319-0
r1_10_6,ACO,89,0-569-96-656-967-741-613-971-655-0
r1_10_6,ACO,90,0-53-788-547-718-762-501-626-306-142-530-0
r1_10_6,ACO,91,0-532-122-796-82-712-278-407-618-0
r1_10_6,ACO,92,0-247-927-753-721-455-790-743-0
