instance,algorithm,route_id,sequence
rc1_10_2,ACO,1,0-793-230-176-779-871-252-101-103-26-141-0
rc1_10_2,ACO,2,0-244-838-59-505-193-497-652-757-0
rc1_10_2,ACO,3,0-272-234-346-753-808-500-959-129-714-420-0
rc1_10_2,ACO,4,0-451-922-659-300-629-650-330-785-45-50-723-0
rc1_10_2,ACO,5,0-206-660-607-859-477-250-390-247-523-321-239-175-596-109-0
rc1_10_2,ACO,6,0-437-228-581-383-626-76-860-656-512-744-0
rc1_10_2,ACO,7,0-547-126-349-516-764-123-604-810-852-822-302-0
rc1_10_2,ACO,8,0-605-386-695-261-686-885-409-875-790-0
rc1_10_2,ACO,9,0-93-271-741-886-821-774-843-486-599-0
rc1_10_2,ACO,10,0-275-114-375-707-483-492-693-188-777-548-854-711-0
rc1_10_2,ACO,11,0-464-484-967-647-161-868-374-65-610-889-736-670-994-0
rc1_10_2,ACO,12,0-6-818-698-623-666-867-839-493-814-0
rc1_10_2,ACO,13,0-124-248-763-5-344-564-455-820-897-8-0
rc1_10_2,ACO,14,0-792-989-556-749-594-91-299-495-207-222-214-0
rc1_10_2,ACO,15,0-476-584-904-27-190-79-555-209-187-92-339-313-970-0
rc1_10_2,ACO,16,0-644-909-894-532-755-472-210-416-992-284-178-0
rc1_10_2,ACO,17,0-817-14-77-613-134-930-424-203-823-343-43-396-872-0
rc1_10_2,ACO,18,0-508-395-438-418-488-574-294-457-310-979-270-0
rc1_10_2,ACO,19,0-578-325-884-21-796-333-94-259-48-0
rc1_10_2,ACO,20,0-402-87-389-11-432-117-938-952-0
rc1_10_2,ACO,21,0-363-215-401-692-515-428-713-971-560-573-690-303-683-775-0
rc1_10_2,ACO,22,0-927-143-360-405-514-588-74-529-661-0
rc1_10_2,ACO,23,0-162-38-725-298-768-233-522-874-958-891-731-384-0
rc1_10_2,ACO,24,0-235-787-264-866-96-490-570-997-403-829-0
rc1_10_2,ACO,25,0-855-17-679-281-876-2-448-440-463-710-458-0
rc1_10_2,ACO,26,0-240-225-327-107-906-549-487-853-862-18-0
rc1_10_2,ACO,27,0-350-426-806-68-954-985-121-57-192-527-595-0
rc1_10_2,ACO,28,0-932-974-436-82-878-362-534-37-148-297-289-681-893-0
rc1_10_2,ACO,29,0-352-216-66-341-200-392-3-72-485-83-0
rc1_10_2,ACO,30,0-326-720-676-732-751-941-22-553-287-721-142-667-654-940-0
rc1_10_2,ACO,31,0-538-355-116-900-684-887-408-945-742-286-772-425-566-0
rc1_10_2,ACO,32,0-305-694-919-7-189-199-306-942-156-964-506-0
rc1_10_2,ACO,33,0-931-63-598-577-928-918-520-482-649-184-0
rc1_10_2,ACO,34,0-144-837-634-880-359-340-770-583-923-509-427-0
rc1_10_2,ACO,35,0-845-449-618-40-414-805-803-737-387-0
rc1_10_2,ACO,36,0-685-315-146-105-537-201-973-826-224-67-296-0
rc1_10_2,ACO,37,0-88-256-49-617-802-831-498-834-950-361-0
rc1_10_2,ACO,38,0-778-672-471-323-89-260-678-677-877-269-0
rc1_10_2,ACO,39,0-791-642-251-937-857-988-173-819-836-0
rc1_10_2,ACO,40,0-155-301-603-948-718-36-136-447-611-648-541-0
rc1_10_2,ACO,41,0-767-933-612-51-709-365-183-982-557-69-580-0
rc1_10_2,ACO,42,0-60-334-869-587-830-381-601-152-130-369-766-902-0
rc1_10_2,ACO,43,0-568-528-169-797-849-699-981-118-391-54-23-0
rc1_10_2,ACO,44,0-920-628-746-335-980-119-975-987-417-46-697-168-0
rc1_10_2,ACO,45,0-227-133-491-794-934-863-29-70-758-332-132-0
rc1_10_2,ACO,46,0-47-786-319-64-562-688-462-748-827-479-44-221-0
rc1_10_2,ACO,47,0-1000-474-908-901-646-750-411-415-700-730-410-99-73-151-0
rc1_10_2,ACO,48,0-539-220-419-996-328-847-815-507-734-90-113-10-0
rc1_10_2,ACO,49,0-267-171-579-841-861-638-445-674-33-673-0
rc1_10_2,ACO,50,0-312-800-342-137-525-788-356-34-0
rc1_10_2,ACO,51,0-724-179-798-468-24-655-865-196-616-726-0
rc1_10_2,ACO,52,0-407-615-469-75-645-160-696-907-882-163-86-0
rc1_10_2,ACO,53,0-835-147-308-378-630-600-776-978-558-212-0
rc1_10_2,ACO,54,0-441-715-540-561-552-446-364-282-371-186-385-0
rc1_10_2,ACO,55,0-947-898-174-125-632-816-559-145-832-759-895-158-921-0
rc1_10_2,ACO,56,0-668-25-917-465-740-61-503-761-324-442-968-104-0
rc1_10_2,ACO,57,0-892-702-828-431-211-55-473-95-98-277-524-910-0
rc1_10_2,ACO,58,0-373-530-743-916-563-621-543-450-663-241-935-0
rc1_10_2,ACO,59,0-591-888-245-170-756-351-592-890-379-956-0
rc1_10_2,ACO,60,0-824-20-903-180-521-172-42-413-0
rc1_10_2,ACO,61,0-423-733-653-31-254-80-717-687-372-526-28-177-879-0
rc1_10_2,ACO,62,0-307-496-139-569-513-30-535-97-728-421-842-433-0
rc1_10_2,ACO,63,0-993-811-575-243-100-382-19-511-127-394-0
rc1_10_2,ACO,64,0-253-71-671-582-56-262-986-265-237-662-912-0
