instance,algorithm,route_id,sequence
c2_10_9,BIH-ABC-DR,1,0-472-859-183-252-539-119-684-376-635-601-524-265-343-547-91-274-663-869-771-284-788-268-926-688-247-965-636-414-447-637-0
c2_10_9,BIH-ABC-DR,2,0-423-757-49-495-34-935-650-576-727-457-233-516-205-223-607-693-546-365-211-615-68-515-621-706-381-715-490-0
c2_10_9,BIH-ABC-DR,3,0-801-822-640-776-38-258-95-758-229-76-429-763-57-234-71-33-860-595-938-950-737-710-568-39-784-377-112-152-0
c2_10_9,BIH-ABC-DR,4,0-921-280-172-406-12-408-88-749-909-70-455-124-896-254-876-427-700-331-369-815-32-681-30-766-131-990-883-592-699-0
c2_10_9,BIH-ABC-DR,5,0-308-189-590-829-391-647-937-951-379-282-23-596-400-353-558-301-887-969-200-847-326-834-692-177-222-0
c2_10_9,BIH-ABC-DR,6,0-445-942-509-460-419-130-359-929-96-227-744-218-403-494-61-907-927-312-310-653-354-687-15-182-949-0
c2_10_9,BIH-ABC-DR,7,0-561-827-352-582-170-542-197-746-960-390-184-436-982-411-85-498-514-594-179-954-372-410-75-675-486-830-0
c2_10_9,BIH-ABC-DR,8,0-346-550-963-8-291-970-610-249-19-798-250-857-856-940-974-51-868-360-198-517-358-734-317-464-947-248-698-0
c2_10_9,BIH-ABC-DR,9,0-73-826-110-86-823-674-602-783-836-441-552-862-133-840-549-175-998-245-775-807-600-956-0
c2_10_9,BIH-ABC-DR,10,0-745-345-1000-143-575-219-438-210-203-623-971-481-886-525-103-52-655-496-952-380-1-831-140-216-803-327-808-315-0
c2_10_9,BIH-ABC-DR,11,0-913-821-318-767-389-64-729-267-946-560-533-748-709-144-581-482-56-368-778-349-646-402-276-439-66-0
c2_10_9,BIH-ABC-DR,12,0-356-41-241-760-877-137-181-608-659-251-895-167-459-92-705-193-996-742-290-100-564-161-476-425-25-642-532-930-0
c2_10_9,BIH-ABC-DR,13,0-382-504-14-526-804-911-405-983-881-480-121-484-393-985-736-505-270-40-848-122-90-866-101-231-708-150-0
c2_10_9,BIH-ABC-DR,14,0-665-786-820-991-364-279-730-117-500-9-479-42-670-556-192-980-84-634-529-902-611-845-0
c2_10_9,BIH-ABC-DR,15,0-733-689-580-718-462-905-257-426-116-839-997-567-872-809-209-80-797-751-432-237-261-160-225-0
c2_10_9,BIH-ABC-DR,16,0-957-606-37-622-212-442-431-597-166-538-196-923-955-232-226-145-207-780-731-388-765-332-0
c2_10_9,BIH-ABC-DR,17,0-713-415-437-981-625-338-238-858-187-707-703-288-972-799-919-628-755-884-882-149-264-0
c2_10_9,BIH-ABC-DR,18,0-530-7-50-587-891-945-220-964-769-141-519-851-782-456-489-120-208-53-169-246-979-676-0
c2_10_9,BIH-ABC-DR,19,0-383-421-943-520-835-792-322-660-325-417-579-396-785-832-616-128-328-844-81-492-0
c2_10_9,BIH-ABC-DR,20,0-277-98-967-739-639-531-63-555-641-224-465-685-583-534-11-297-392-370-661-355-190-871-13-0
c2_10_9,BIH-ABC-DR,21,0-342-67-993-309-720-545-712-453-999-204-843-898-813-724-336-774-864-259-409-404-849-770-319-0
c2_10_9,BIH-ABC-DR,22,0-420-281-449-363-28-511-333-397-535-401-790-694-544-467-162-741-941-114-574-711-904-300-585-816-0
c2_10_9,BIH-ABC-DR,23,0-387-213-134-471-988-953-598-5-450-654-662-570-723-487-573-591-323-527-263-45-299-341-948-239-0
c2_10_9,BIH-ABC-DR,24,0-230-475-651-613-565-586-104-108-474-987-875-27-677-275-59-631-158-151-893-503-215-324-139-0
c2_10_9,BIH-ABC-DR,25,0-499-201-566-825-413-303-339-512-501-589-756-430-603-717-69-36-153-2-912-443-477-759-588-0
c2_10_9,BIH-ABC-DR,26,0-180-656-422-313-936-918-738-922-861-932-917-488-773-837-924-578-984-562-506-593-168-329-528-968-626-609-0
