instance,algorithm,route_id,sequence
r1_10_2,BIH-ABC-DR,1,0-110-143-502-599-477-506-559-257-519-137-147-0
r1_10_2,BIH-ABC-DR,2,0-486-510-735-562-648-639-887-419-421-730-764-0
r1_10_2,BIH-ABC-DR,3,0-854-397-357-376-774-465-90-422-794-0
r1_10_2,BIH-ABC-DR,4,0-487-869-870-676-56-568-169-782-831-970-0
r1_10_2,BIH-ABC-DR,5,0-14-339-273-458-605-720-170-47-921-621-537-589-0
r1_10_2,BIH-ABC-DR,6,0-726-637-157-226-368-230-348-847-761-173-610-61-0
r1_10_2,BIH-ABC-DR,7,0-911-399-4-125-554-678-8-561-823-270-55-0
r1_10_2,BIH-ABC-DR,8,0-213-841-956-428-309-51-516-84-664-264-0
r1_10_2,BIH-ABC-DR,9,0-697-905-908-451-669-236-649-570-565-527-528-323-0
r1_10_2,BIH-ABC-DR,10,0-141-953-600-36-668-153-344-661-129-318-277-0
r1_10_2,BIH-ABC-DR,11,0-775-299-442-380-840-346-450-933-851-192-763-671-0
r1_10_2,BIH-ABC-DR,12,0-26-683-846-514-844-981-619-369-203-738-453-0
r1_10_2,BIH-ABC-DR,13,0-201-417-684-624-892-564-576-360-378-975-131-584-0
r1_10_2,BIH-ABC-DR,14,0-706-620-115-268-326-974-598-17-535-935-0
r1_10_2,BIH-ABC-DR,15,0-68-675-645-165-914-396-103-499-546-653-0
r1_10_2,BIH-ABC-DR,16,0-74-216-822-490-228-146-912-833-771-612-996-828-0
r1_10_2,BIH-ABC-DR,17,0-667-494-818-434-864-646-87-105-894-297-541-0
r1_10_2,BIH-ABC-DR,18,0-802-64-154-187-49-587-271-542-332-10-162-1-0
r1_10_2,BIH-ABC-DR,19,0-28-511-879-727-334-760-475-523-217-466-0
r1_10_2,BIH-ABC-DR,20,0-117-493-184-580-295-245-784-329-815-780-521-144-0
r1_10_2,BIH-ABC-DR,21,0-704-459-783-750-207-342-969-567-693-919-274-0
r1_10_2,BIH-ABC-DR,22,0-695-91-642-773-303-256-623-636-81-0
r1_10_2,BIH-ABC-DR,23,0-489-544-698-886-167-285-177-23-961-3-860-0
r1_10_2,BIH-ABC-DR,24,0-932-654-593-495-145-571-121-224-205-0
r1_10_2,BIH-ABC-DR,25,0-673-444-660-221-689-314-317-291-311-76-709-989-601-0
r1_10_2,BIH-ABC-DR,26,0-873-517-651-411-882-614-279-990-603-729-0
r1_10_2,BIH-ABC-DR,27,0-893-607-630-328-195-538-602-46-809-288-978-0
r1_10_2,BIH-ABC-DR,28,0-881-533-631-78-776-972-526-522-261-850-0
r1_10_2,BIH-ABC-DR,29,0-819-435-449-492-588-179-867-416-707-0
r1_10_2,BIH-ABC-DR,30,0-606-503-385-441-338-387-398-747-472-993-456-0
r1_10_2,BIH-ABC-DR,31,0-1000-715-158-316-27-604-942-200-354-786-364-356-855-383-0
r1_10_2,BIH-ABC-DR,32,0-650-931-292-984-508-891-218-202-745-255-0
r1_10_2,BIH-ABC-DR,33,0-703-361-95-296-488-134-791-275-483-415-0
r1_10_2,BIH-ABC-DR,34,0-394-534-813-491-999-801-197-966-69-2-231-392-0
r1_10_2,BIH-ABC-DR,35,0-21-198-725-988-575-991-812-524-471-0
r1_10_2,BIH-ABC-DR,36,0-616-289-446-647-62-259-830-331-733-166-834-586-0
r1_10_2,BIH-ABC-DR,37,0-313-890-617-680-473-403-98-948-965-952-414-20-0
r1_10_2,BIH-ABC-DR,38,0-89-876-950-127-954-196-343-43-186-72-810-0
r1_10_2,BIH-ABC-DR,39,0-710-943-814-180-132-5-44-772-174-480-175-0
r1_10_2,BIH-ABC-DR,40,0-377-212-934-629-553-755-265-829-577-240-976-0
r1_10_2,BIH-ABC-DR,41,0-138-148-964-52-719-135-58-643-362-968-172-267-0
r1_10_2,BIH-ABC-DR,42,0-986-536-188-714-93-322-204-722-123-635-65-0
r1_10_2,BIH-ABC-DR,43,0-223-696-229-294-124-749-34-191-19-682-0
r1_10_2,BIH-ABC-DR,44,0-928-250-883-116-464-114-955-505-987-572-13-0
r1_10_2,BIH-ABC-DR,45,0-746-29-401-748-902-685-426-824-424-525-325-945-0
r1_10_2,BIH-ABC-DR,46,0-77-35-581-520-468-659-32-284-481-769-0
r1_10_2,BIH-ABC-DR,47,0-463-372-54-924-70-778-181-351-406-711-871-0
r1_10_2,BIH-ABC-DR,48,0-992-700-901-897-757-779-663-182-594-6-0
r1_10_2,BIH-ABC-DR,49,0-209-679-454-797-94-756-100-868-839-560-0
r1_10_2,BIH-ABC-DR,50,0-515-963-691-194-507-227-429-821-634-320-0
r1_10_2,BIH-ABC-DR,51,0-140-337-409-248-583-765-498-884-807-290-393-591-980-0
r1_10_2,BIH-ABC-DR,52,0-66-365-937-373-853-302-382-832-940-92-816-16-0
r1_10_2,BIH-ABC-DR,53,0-849-903-825-579-130-405-420-287-578-85-0
r1_10_2,BIH-ABC-DR,54,0-708-597-199-608-220-681-518-777-404-915-0
r1_10_2,BIH-ABC-DR,55,0-308-190-717-843-57-878-321-479-923-340-926-238-539-349-0
r1_10_2,BIH-ABC-DR,56,0-983-457-161-817-744-856-389-811-998-728-109-168-0
r1_10_2,BIH-ABC-DR,57,0-692-38-126-41-482-785-176-798-795-674-0
r1_10_2,BIH-ABC-DR,58,0-899-995-622-540-611-787-827-941-163-633-83-193-0
r1_10_2,BIH-ABC-DR,59,0-858-156-563-896-552-556-500-79-625-0
r1_10_2,BIH-ABC-DR,60,0-462-249-875-395-412-566-859-22-551-596-739-836-452-0
r1_10_2,BIH-ABC-DR,61,0-872-732-736-438-922-734-509-355-694-0
r1_10_2,BIH-ABC-DR,62,0-86-345-657-758-254-31-252-701-30-0
r1_10_2,BIH-ABC-DR,63,0-73-754-737-367-45-959-350-863-341-315-305-759-0
r1_10_2,BIH-ABC-DR,64,0-276-835-164-644-374-440-548-425-102-437-913-381-106-0
r1_10_2,BIH-ABC-DR,65,0-838-640-335-312-770-529-665-410-938-895-865-0
r1_10_2,BIH-ABC-DR,66,0-136-677-977-742-543-723-792-151-609-985-63-88-0
r1_10_2,BIH-ABC-DR,67,0-752-936-652-793-37-300-232-149-766-359-467-592-0
r1_10_2,BIH-ABC-DR,68,0-152-910-557-672-713-60-67-826-119-104-108-0
r1_10_2,BIH-ABC-DR,69,0-979-595-111-781-330-627-443-997-0
r1_10_2,BIH-ABC-DR,70,0-448-573-210-120-225-400-185-800-281-39-0
r1_10_2,BIH-ABC-DR,71,0-702-628-107-388-930-740-724-33-427-366-0
r1_10_2,BIH-ABC-DR,72,0-155-402-222-113-258-71-307-666-48-242-638-0
r1_10_2,BIH-ABC-DR,73,0-80-50-324-211-439-327-293-178-670-880-18-371-837-436-0
r1_10_2,BIH-ABC-DR,74,0-808-243-379-946-432-545-413-352-470-353-484-909-0
r1_10_2,BIH-ABC-DR,75,0-582-688-208-476-150-239-751-283-916-244-101-0
r1_10_2,BIH-ABC-DR,76,0-496-263-418-958-375-251-59-390-15-0
r1_10_2,BIH-ABC-DR,77,0-705-920-280-469-550-431-25-118-951-7-391-237-0
r1_10_2,BIH-ABC-DR,78,0-558-512-128-11-12-272-474-478-0
r1_10_2,BIH-ABC-DR,79,0-904-241-269-347-906-215-304-803-874-789-40-0
r1_10_2,BIH-ABC-DR,80,0-799-907-662-75-929-949-531-806-219-861-716-370-939-0
r1_10_2,BIH-ABC-DR,81,0-333-234-160-298-857-246-447-889-139-632-0
r1_10_2,BIH-ABC-DR,82,0-862-848-994-957-301-590-159-973-962-805-947-866-0
r1_10_2,BIH-ABC-DR,83,0-433-585-363-944-408-615-310-555-877-0
r1_10_2,BIH-ABC-DR,84,0-133-358-900-925-97-183-460-690-9-336-731-214-0
r1_10_2,BIH-ABC-DR,85,0-641-99-445-852-960-497-112-658-917-513-189-699-0
r1_10_2,BIH-ABC-DR,86,0-741-967-485-656-306-96-569-655-262-0
r1_10_2,BIH-ABC-DR,87,0-142-530-971-53-788-386-547-718-762-626-618-0
r1_10_2,BIH-ABC-DR,88,0-796-82-712-278-407-501-455-532-122-0
r1_10_2,BIH-ABC-DR,89,0-743-790-753-721-282-549-888-171-885-927-247-0
r1_10_2,BIH-ABC-DR,90,0-235-423-430-42-206-384-253-845-0
r1_10_2,BIH-ABC-DR,91,0-842-260-767-613-686-286-266-233-319-0
r1_10_2,BIH-ABC-DR,92,0-804-820-504-574-982-768-24-918-461-898-687-0
