instance,algorithm,route_id,sequence
rc1_10_5,BIH-ABC-DR,1,0-793-871-244-407-101-659-853-862-785-434-128-140-608-0
rc1_10_5,BIH-ABC-DR,2,0-477-275-114-216-227-777-491-577-794-934-738-0
rc1_10_5,BIH-ABC-DR,3,0-437-126-464-647-967-484-976-161-868-610-217-893-0
rc1_10_5,BIH-ABC-DR,4,0-792-771-983-556-472-81-567-598-95-98-863-0
rc1_10_5,BIH-ABC-DR,5,0-578-388-526-99-410-438-73-79-964-270-53-0
rc1_10_5,BIH-ABC-DR,6,0-727-93-440-448-281-860-76-503-347-90-0
rc1_10_5,BIH-ABC-DR,7,0-346-293-261-686-181-36-136-912-801-795-0
rc1_10_5,BIH-ABC-DR,8,0-927-273-316-52-135-360-768-963-219-249-519-0
rc1_10_5,BIH-ABC-DR,9,0-581-311-17-657-679-876-855-238-734-0
rc1_10_5,BIH-ABC-DR,10,0-453-763-124-944-808-753-959-385-259-531-0
rc1_10_5,BIH-ABC-DR,11,0-542-989-393-402-389-87-11-886-834-0
rc1_10_5,BIH-ABC-DR,12,0-162-143-38-806-68-602-954-889-207-226-447-611-0
rc1_10_5,BIH-ABC-DR,13,0-538-817-14-77-635-304-945-43-313-970-623-302-0
rc1_10_5,BIH-ABC-DR,14,0-363-300-725-629-298-428-713-971-573-690-123-0
rc1_10_5,BIH-ABC-DR,15,0-644-352-544-341-301-329-691-603-854-494-0
rc1_10_5,BIH-ABC-DR,16,0-271-932-354-436-878-362-82-656-475-324-392-72-0
rc1_10_5,BIH-ABC-DR,17,0-481-909-155-375-764-516-707-483-492-188-548-918-775-0
rc1_10_5,BIH-ABC-DR,18,0-584-904-305-47-919-497-995-562-979-417-972-168-0
rc1_10_5,BIH-ABC-DR,19,0-144-984-837-539-867-839-419-815-761-442-218-0
rc1_10_5,BIH-ABC-DR,20,0-63-518-685-545-315-146-105-537-201-973-0
rc1_10_5,BIH-ABC-DR,21,0-931-960-894-532-755-416-826-910-39-498-758-597-0
rc1_10_5,BIH-ABC-DR,22,0-870-326-933-866-767-51-709-121-804-926-580-595-0
rc1_10_5,BIH-ABC-DR,23,0-528-568-169-564-981-118-413-48-726-115-0
rc1_10_5,BIH-ABC-DR,24,0-850-741-88-256-353-49-831-460-83-0
rc1_10_5,BIH-ABC-DR,25,0-225-370-534-37-974-148-1-432-332-631-338-0
rc1_10_5,BIH-ABC-DR,26,0-350-778-672-170-756-599-351-493-390-91-0
rc1_10_5,BIH-ABC-DR,27,0-215-401-692-515-26-693-560-303-260-683-678-384-0
rc1_10_5,BIH-ABC-DR,28,0-240-107-906-327-549-487-2-745-590-0
rc1_10_5,BIH-ABC-DR,29,0-285-517-405-426-514-588-883-74-669-178-0
rc1_10_5,BIH-ABC-DR,30,0-508-900-627-395-355-684-887-18-408-742-286-319-536-0
rc1_10_5,BIH-ABC-DR,31,0-325-264-787-762-884-796-557-291-527-0
rc1_10_5,BIH-ABC-DR,32,0-27-748-462-254-80-510-614-772-425-0
rc1_10_5,BIH-ABC-DR,33,0-845-334-60-587-869-381-601-152-251-173-0
rc1_10_5,BIH-ABC-DR,34,0-297-179-468-499-3-290-658-277-807-524-936-29-70-0
rc1_10_5,BIH-ABC-DR,35,0-312-800-137-342-525-596-356-942-574-241-0
rc1_10_5,BIH-ABC-DR,36,0-449-40-923-414-45-805-803-737-295-369-0
rc1_10_5,BIH-ABC-DR,37,0-724-798-702-892-774-828-821-431-55-512-473-897-202-0
rc1_10_5,BIH-ABC-DR,38,0-615-937-469-307-496-728-382-421-857-511-30-130-0
rc1_10_5,BIH-ABC-DR,39,0-533-636-676-1000-732-751-175-474-490-546-673-322-0
rc1_10_5,BIH-ABC-DR,40,0-835-925-157-987-703-689-309-609-12-61-0
rc1_10_5,BIH-ABC-DR,41,0-10-920-996-833-782-366-666-120-348-340-770-641-0
rc1_10_5,BIH-ABC-DR,42,0-612-720-22-553-287-819-721-142-667-982-620-502-769-69-0
rc1_10_5,BIH-ABC-DR,43,0-235-171-579-841-20-638-445-23-455-239-205-33-0
rc1_10_5,BIH-ABC-DR,44,0-791-822-830-75-645-160-139-569-513-583-0
rc1_10_5,BIH-ABC-DR,45,0-21-159-103-529-877-269-541-478-790-0
rc1_10_5,BIH-ABC-DR,46,0-947-827-44-733-632-559-145-832-127-907-163-766-0
rc1_10_5,BIH-ABC-DR,47,0-147-642-634-880-505-882-283-46-185-387-0
rc1_10_5,BIH-ABC-DR,48,0-786-694-50-7-199-189-895-151-555-109-153-0
rc1_10_5,BIH-ABC-DR,49,0-618-811-993-243-575-100-902-97-19-535-696-0
rc1_10_5,BIH-ABC-DR,50,0-797-849-852-810-699-441-540-54-765-0
rc1_10_5,BIH-ABC-DR,51,0-847-25-628-917-465-740-585-328-752-229-197-111-0
rc1_10_5,BIH-ABC-DR,52,0-220-825-466-746-507-292-106-485-257-697-246-0
rc1_10_5,BIH-ABC-DR,53,0-922-547-383-668-308-258-467-509-427-744-368-0
rc1_10_5,BIH-ABC-DR,54,0-233-210-992-459-398-722-224-67-214-296-0
rc1_10_5,BIH-ABC-DR,55,0-523-824-267-814-96-470-781-129-209-652-558-371-0
rc1_10_5,BIH-ABC-DR,56,0-885-898-916-621-310-212-373-415-411-187-0
rc1_10_5,BIH-ABC-DR,57,0-710-330-439-617-463-4-968-208-420-0
rc1_10_5,BIH-ABC-DR,58,0-958-874-471-891-731-323-89-677-711-222-650-648-661-0
rc1_10_5,BIH-ABC-DR,59,0-522-245-888-591-875-486-928-843-141-957-0
rc1_10_5,BIH-ABC-DR,60,0-500-715-190-723-730-940-186-435-94-406-836-0
rc1_10_5,BIH-ABC-DR,61,0-66-133-949-200-848-939-58-194-651-840-718-430-0
