instance,algorithm,route_id,sequence
r1_10_7,BIH-ACO-DR,1,0-486-487-911-835-879-631-78-776-280-490-34-437-5-44-0
r1_10_7,BIH-ACO-DR,2,0-854-983-727-334-389-261-567-909-0
r1_10_7,BIH-ACO-DR,3,0-213-489-517-651-365-608-220-681-145-571-759-0
r1_10_7,BIH-ACO-DR,4,0-141-74-89-679-725-991-812-510-589-0
r1_10_7,BIH-ACO-DR,5,0-775-235-873-457-161-897-581-412-150-880-479-671-710-0
r1_10_7,BIH-ACO-DR,6,0-667-68-704-431-229-951-124-760-972-913-381-635-65-0
r1_10_7,BIH-ACO-DR,7,0-802-695-876-508-891-300-322-204-0
r1_10_7,BIH-ACO-DR,8,0-28-943-799-35-950-130-405-523-998-771-0
r1_10_7,BIH-ACO-DR,9,0-932-606-148-190-717-843-742-543-824-647-1000-0
r1_10_7,BIH-ACO-DR,10,0-673-394-212-95-758-627-500-980-0
r1_10_7,BIH-ACO-DR,11,0-893-992-700-901-622-70-170-524-47-921-537-0
r1_10_7,BIH-ACO-DR,12,0-819-313-680-473-403-134-534-275-491-701-895-0
r1_10_7,BIH-ACO-DR,13,0-650-692-273-645-268-64-892-232-181-351-935-0
r1_10_7,BIH-ACO-DR,14,0-289-616-934-853-770-302-32-961-284-481-177-23-349-860-0
r1_10_7,BIH-ACO-DR,15,0-986-928-590-605-326-598-17-868-67-4-72-0
r1_10_7,BIH-ACO-DR,16,0-463-372-732-736-922-734-509-827-119-257-0
r1_10_7,BIH-ACO-DR,17,0-361-515-963-254-847-542-245-784-10-634-625-729-0
r1_10_7,BIH-ACO-DR,18,0-140-337-296-113-258-829-857-577-483-240-443-415-0
r1_10_7,BIH-ACO-DR,19,0-708-73-754-737-45-350-265-896-552-31-591-0
r1_10_7,BIH-ACO-DR,20,0-308-136-937-495-341-685-723-792-62-259-424-0
r1_10_7,BIH-ACO-DR,21,0-696-899-995-644-814-180-93-114-952-314-823-0
r1_10_7,BIH-ACO-DR,22,0-339-675-329-691-194-930-103-724-33-427-0
r1_10_7,BIH-ACO-DR,23,0-858-654-335-404-373-630-328-406-711-871-941-320-0
r1_10_7,BIH-ACO-DR,24,0-872-988-454-797-611-787-745-735-560-255-706-0
r1_10_7,BIH-ACO-DR,25,0-86-345-325-663-293-178-59-390-830-205-551-739-0
r1_10_7,BIH-ACO-DR,26,0-931-417-684-624-587-785-576-360-378-592-131-87-105-0
