instance,algorithm,route_id,sequence
rc1_10_10,BIH-ACO-DR,1,0-905-318-489-606-624-62-279-397-704-9-463-72-460-0
rc1_10_10,BIH-ACO-DR,2,0-195-504-998-108-965-122-708-969-454-110-263-953-187-394-410-0
rc1_10_10,BIH-ACO-DR,3,0-554-589-550-358-858-593-747-812-899-913-0
rc1_10_10,BIH-ACO-DR,4,0-773-3-949-468-499-200-213-443-658-290-83-0
rc1_10_10,BIH-ACO-DR,5,0-456-167-242-337-365-288-183-701-829-546-322-0
rc1_10_10,BIH-ACO-DR,6,0-174-343-422-204-943-881-851-717-687-942-99-506-151-555-0
rc1_10_10,BIH-ACO-DR,7,0-56-104-962-999-848-939-948-651-840-482-432-67-0
rc1_10_10,BIH-ACO-DR,8,0-32-783-924-461-376-625-966-975-185-972-608-0
rc1_10_10,BIH-ACO-DR,9,0-856-809-41-873-231-336-682-380-165-0
rc1_10_10,BIH-ACO-DR,10,0-105-656-111-295-130-766-369-842-221-433-623-302-735-0
rc1_10_10,BIH-ACO-DR,11,0-990-278-729-320-571-985-780-121-132-196-0
rc1_10_10,BIH-ACO-DR,12,0-816-914-418-266-572-640-559-935-438-73-79-0
rc1_10_10,BIH-ACO-DR,13,0-157-689-309-703-739-268-634-880-120-574-339-92-895-0
rc1_10_10,BIH-ACO-DR,14,0-310-621-916-563-457-488-372-333-241-294-921-0
rc1_10_10,BIH-ACO-DR,15,0-480-84-680-164-404-289-681-719-639-119-348-0
rc1_10_10,BIH-ACO-DR,16,0-276-833-609-12-782-705-664-102-335-980-619-946-417-0
rc1_10_10,BIH-ACO-DR,17,0-57-16-576-35-331-399-561-112-412-978-820-997-0
rc1_10_10,BIH-ACO-DR,18,0-552-446-364-452-282-198-646-429-750-526-145-832-127-177-970-0
rc1_10_10,BIH-ACO-DR,19,0-825-917-465-987-925-366-586-61-140-434-128-0
rc1_10_10,BIH-ACO-DR,20,0-846-117-813-938-673-661-595-790-757-0
rc1_10_10,BIH-ACO-DR,21,0-675-896-844-377-223-274-667-723-982-232-726-765-0
rc1_10_10,BIH-ACO-DR,22,0-582-671-353-915-712-277-524-936-910-1-802-831-0
rc1_10_10,BIH-ACO-DR,23,0-950-361-345-952-172-781-209-558-371-385-0
rc1_10_10,BIH-ACO-DR,24,0-253-262-15-598-58-194-520-184-4-893-0
rc1_10_10,BIH-ACO-DR,25,0-150-776-963-637-665-219-716-784-977-865-648-912-0
rc1_10_10,BIH-ACO-DR,26,0-752-328-585-740-847-25-628-815-280-378-485-218-0
rc1_10_10,BIH-ACO-DR,27,0-19-382-97-575-243-728-100-993-421-535-510-313-0
rc1_10_10,BIH-ACO-DR,28,0-710-986-71-630-774-577-928-600-299-718-843-0
rc1_10_10,BIH-ACO-DR,29,0-228-197-229-860-76-138-357-622-182-113-13-0
rc1_10_10,BIH-ACO-DR,30,0-748-827-530-743-212-415-411-964-156-317-0
rc1_10_10,BIH-ACO-DR,31,0-486-591-245-756-170-493-604-444-611-447-0
rc1_10_10,BIH-ACO-DR,32,0-901-908-594-131-674-33-804-103-48-259-994-0
rc1_10_10,BIH-ACO-DR,33,0-615-645-75-496-811-902-307-569-139-359-340-770-46-0
rc1_10_10,BIH-ACO-DR,34,0-841-579-351-599-888-875-890-249-390-247-226-527-0
rc1_10_10,BIH-ACO-DR,35,0-211-431-821-828-892-55-512-473-702-798-918-649-0
rc1_10_10,BIH-ACO-DR,36,0-373-31-479-653-44-947-898-614-80-995-907-688-0
