instance,algorithm,route_id,sequence
c2_10_10,BIH-GWO-DR,1,0-387-942-445-280-119-98-674-829-881-855-109-483-978-156-619-92-790-193-632-996-938-186-928-737-22-950-568-39-710-304-154-6-113-626-0
c2_10_10,BIH-GWO-DR,2,0-97-333-420-539-291-767-713-526-441-431-597-27-228-850-563-666-994-627-424-316-306-289-122-696-60-476-740-102-532-466-930-817-842-150-0
c2_10_10,BIH-GWO-DR,3,0-911-141-913-665-582-189-610-970-376-623-524-971-481-103-886-525-736-848-40-593-168-506-528-503-830-302-490-699-139-0
c2_10_10,BIH-GWO-DR,4,0-921-733-967-602-308-859-587-14-656-214-116-806-716-839-961-552-3-705-243-55-595-161-880-795-290-866-90-425-612-344-571-101-25-642-367-0
c2_10_10,BIH-GWO-DR,5,0-350-73-170-346-504-183-405-94-983-285-987-104-393-166-599-875-176-638-59-631-955-897-893-74-683-636-231-691-334-629-21-315-0
c2_10_10,BIH-GWO-DR,6,0-421-554-12-172-309-738-224-861-63-846-896-898-427-254-295-365-323-2-153-527-454-617-899-637-324-478-0
c2_10_10,BIH-GWO-DR,7,0-745-654-423-495-545-712-8-999-555-936-641-453-188-265-814-917-663-91-869-773-274-926-984-284-831-965-247-688-1-808-287-803-283-732-0
c2_10_10,BIH-GWO-DR,8,0-296-867-820-117-500-479-178-874-242-434-735-463-133-840-549-361-175-301-558-456-489-120-366-887-43-672-208-353-264-105-0
c2_10_10,BIH-GWO-DR,9,0-383-862-50-565-352-509-394-639-901-660-430-325-573-591-603-174-724-368-778-56-330-482-634-84-128-328-529-844-902-975-675-486-976-0
c2_10_10,BIH-GWO-DR,10,0-827-130-589-322-520-569-320-995-375-469-286-982-870-4-411-852-556-514-85-594-498-123-966-624-714-497-931-492-46-611-667-293-645-686-0
c2_10_10,BIH-GWO-DR,11,0-318-314-511-342-835-739-267-546-685-465-451-894-701-416-952-515-864-912-297-849-381-443-621-370-409-759-66-384-0
c2_10_10,BIH-GWO-DR,12,0-406-575-203-720-442-41-180-943-337-777-944-551-694-538-196-923-373-742-191-505-270-708-452-329-968-779-588-796-81-0
c2_10_10,BIH-GWO-DR,13,0-670-298-993-792-566-689-279-826-890-542-900-292-428-680-126-878-282-61-519-348-146-584-312-80-99-310-115-118-31-335-731-149-0
c2_10_10,BIH-GWO-DR,14,0-550-449-88-408-110-825-722-543-756-723-570-487-717-136-813-321-69-980-581-173-616-75-646-402-349-276-163-934-819-793-0
c2_10_10,BIH-GWO-DR,15,0-389-729-213-662-86-339-929-9-981-810-238-448-630-218-305-227-744-927-42-782-614-851-969-653-998-200-847-326-692-834-354-687-577-157-0
c2_10_10,BIH-GWO-DR,16,0-651-338-858-889-359-580-230-303-669-512-106-501-385-159-362-195-400-26-854-682-347-536-169-939-53-246-185-916-649-221-702-0
c2_10_10,BIH-GWO-DR,17,0-143-932-922-684-472-613-540-397-535-945-997-220-401-142-567-872-194-973-648-781-668-755-202-728-35-884-882-671-865-959-399-925-949-0
c2_10_10,BIH-GWO-DR,18,0-833-138-363-422-963-313-281-914-605-17-121-480-484-992-275-985-721-677-29-658-493-273-768-787-158-151-407-620-643-933-553-18-447-0
c2_10_10,BIH-GWO-DR,19,0-37-821-622-561-718-379-673-236-559-28-783-964-836-974-769-23-794-940-596-797-628-919-114-751-432-237-300-816-261-341-948-585-239-332-0
c2_10_10,BIH-GWO-DR,20,0-590-640-776-625-460-413-132-475-446-697-269-262-148-541-800-436-54-879-79-537-523-357-679-16-311-93-260-507-805-89-0
c2_10_10,BIH-GWO-DR,21,0-241-62-786-459-197-38-258-95-572-951-278-253-206-250-857-809-856-209-941-444-127-371-888-574-711-904-780-765-299-433-386-222-177-845-0
c2_10_10,BIH-GWO-DR,22,0-229-905-946-155-468-772-908-818-824-171-485-791-583-396-144-986-725-65-832-192-30-766-372-410-954-179-439-48-13-871-0
c2_10_10,BIH-GWO-DR,23,0-513-391-647-462-76-426-307-251-895-167-763-199-129-33-860-548-544-802-502-695-467-360-87-418-464-747-657-377-112-458-82-256-0
c2_10_10,BIH-GWO-DR,24,0-531-749-1000-345-757-134-49-34-516-953-233-5-885-147-853-726-989-789-72-815-369-32-681-785-774-990-392-131-661-592-883-355-190-0
c2_10_10,BIH-GWO-DR,25,0-356-991-364-730-419-67-78-96-746-652-491-187-960-390-184-494-907-403-374-20-521-764-245-775-979-958-47-807-962-182-15-600-676-0
c2_10_10,BIH-GWO-DR,26,0-957-530-988-450-650-457-164-499-455-201-909-70-678-918-124-876-44-211-435-135-557-828-440-272-564-100-618-378-812-470-906-0
c2_10_10,BIH-GWO-DR,27,0-111-760-877-822-801-659-937-255-758-811-398-915-57-429-234-162-340-71-24-750-754-741-358-198-51-868-412-517-734-317-248-841-508-873-0
c2_10_10,BIH-GWO-DR,28,0-210-437-935-518-107-471-64-798-743-19-249-560-579-533-748-709-633-336-414-522-784-977-947-152-698-644-719-609-0
c2_10_10,BIH-GWO-DR,29,0-903-277-212-7-606-257-137-181-608-10-892-753-217-707-664-762-288-703-972-232-83-125-799-263-226-145-235-956-207-160-45-225-388-0
c2_10_10,BIH-GWO-DR,30,0-473-804-891-474-635-601-415-219-438-58-843-838-204-343-488-924-547-837-771-562-578-268-788-380-266-920-761-140-216-327-240-752-0
c2_10_10,BIH-GWO-DR,31,0-252-108-382-604-586-77-576-598-165-863-727-223-294-607-510-693-205-331-655-496-52-700-910-11-244-259-715-706-770-477-404-319-0
c2_10_10,BIH-GWO-DR,32,0-271-823-417-690-36-615-68-534-351-395-704-461-215-0
