instance,algorithm,route_id,sequence
r1_10_8,BIH-GWO-DR,1,0-486-487-141-300-170-60-343-565-771-557-6-85-799-0
r1_10_8,BIH-GWO-DR,2,0-213-489-365-373-800-245-546-653-646-318-176-61-0
r1_10_8,BIH-GWO-DR,3,0-775-873-992-700-946-425-972-437-44-998-381-239-384-0
r1_10_8,BIH-GWO-DR,4,0-802-463-590-991-797-524-47-286-110-0
r1_10_8,BIH-GWO-DR,5,0-893-943-879-631-440-776-490-191-342-969-822-635-283-0
r1_10_8,BIH-GWO-DR,6,0-650-692-273-642-564-624-587-232-17-868-871-633-105-0
r1_10_8,BIH-GWO-DR,7,0-394-212-934-583-902-685-824-62-416-647-525-206-0
r1_10_8,BIH-GWO-DR,8,0-361-86-748-755-638-265-356-30-552-801-197-2-0
r1_10_8,BIH-GWO-DR,9,0-708-136-190-843-681-566-982-24-224-321-0
r1_10_8,BIH-GWO-DR,10,0-696-899-995-814-180-672-922-509-125-831-0
r1_10_8,BIH-GWO-DR,11,0-710-457-161-12-749-523-287-833-186-0
r1_10_8,BIH-GWO-DR,12,0-140-155-210-113-258-337-71-275-344-505-320-0
r1_10_8,BIH-GWO-DR,13,0-249-897-581-389-811-4-119-169-64-311-989-955-0
r1_10_8,BIH-GWO-DR,14,0-80-50-476-328-792-798-385-354-701-786-938-0
r1_10_8,BIH-GWO-DR,15,0-336-495-9-629-867-627-415-634-231-392-574-977-0
r1_10_8,BIH-GWO-DR,16,0-91-936-823-508-891-70-611-67-869-257-0
r1_10_8,BIH-GWO-DR,17,0-825-216-127-114-941-421-730-233-531-266-405-0
r1_10_8,BIH-GWO-DR,18,0-693-677-571-886-167-468-808-659-923-909-834-0
r1_10_8,BIH-GWO-DR,19,0-952-600-49-684-417-154-414-36-378-20-974-8-561-809-0
r1_10_8,BIH-GWO-DR,20,0-601-187-55-115-953-735-639-253-0
r1_10_8,BIH-GWO-DR,21,0-711-577-895-791-503-604-27-316-942-795-674-968-244-0
r1_10_8,BIH-GWO-DR,22,0-420-228-25-480-520-324-919-263-961-990-665-145-717-0
r1_10_8,BIH-GWO-DR,23,0-540-124-951-431-174-560-598-326-535-892-620-0
r1_10_8,BIH-GWO-DR,24,0-358-469-550-806-219-454-359-660-221-0
r1_10_8,BIH-GWO-DR,25,0-644-727-280-837-582-121-529-383-628-101-106-0
r1_10_8,BIH-GWO-DR,26,0-158-307-402-92-442-768-208-619-920-34-146-217-694-0
r1_10_8,BIH-GWO-DR,27,0-579-75-391-913-875-670-882-483-689-467-0
r1_10_8,BIH-GWO-DR,28,0-37-978-538-397-906-215-594-511-175-662-907-261-0
r1_10_8,BIH-GWO-DR,29,0-861-438-734-504-59-369-352-466-11-118-370-0
r1_10_8,BIH-GWO-DR,30,0-52-135-48-393-491-279-784-580-434-652-149-159-0
r1_10_8,BIH-GWO-DR,31,0-996-304-347-269-648-351-720-317-271-90-0
r1_10_8,BIH-GWO-DR,32,0-398-556-896-836-739-593-816-439-470-0
r1_10_8,BIH-GWO-DR,33,0-387-813-715-640-737-742-533-334-874-716-818-668-0
r1_10_8,BIH-GWO-DR,34,0-622-789-910-764-195-241-793-270-295-329-98-162-240-0
r1_10_8,BIH-GWO-DR,35,0-248-409-349-327-545-779-954-198-506-592-376-0
r1_10_8,BIH-GWO-DR,36,0-432-203-293-211-859-832-588-448-702-0
r1_10_8,BIH-GWO-DR,37,0-905-757-850-567-878-596-367-964-719-591-614-691-366-0
r1_10_8,BIH-GWO-DR,38,0-939-399-709-774-226-979-179-315-424-323-0
r1_10_8,BIH-GWO-DR,39,0-255-152-903-78-436-57-274-285-518-637-29-58-242-0
