instance,algorithm,route_id,sequence
rc1_10_5,BIH-GWO-DR,1,0-793-871-244-407-101-659-853-862-785-434-128-140-608-0
rc1_10_5,BIH-GWO-DR,2,0-477-275-114-216-227-777-491-794-934-738-0
rc1_10_5,BIH-GWO-DR,3,0-547-126-464-647-967-976-484-161-374-868-65-610-237-0
rc1_10_5,BIH-GWO-DR,4,0-792-771-983-556-472-81-567-598-95-98-863-0
rc1_10_5,BIH-GWO-DR,5,0-386-695-476-754-864-961-166-94-115-0
rc1_10_5,BIH-GWO-DR,6,0-349-818-367-613-134-930-203-424-823-698-911-744-0
rc1_10_5,BIH-GWO-DR,7,0-578-388-526-99-410-438-73-79-964-270-53-0
rc1_10_5,BIH-GWO-DR,8,0-727-93-440-448-281-860-76-503-347-90-0
rc1_10_5,BIH-GWO-DR,9,0-346-293-261-686-834-662-831-912-801-795-0
rc1_10_5,BIH-GWO-DR,10,0-927-273-316-135-52-360-768-963-219-249-519-0
rc1_10_5,BIH-GWO-DR,11,0-581-311-17-657-679-855-876-238-734-0
rc1_10_5,BIH-GWO-DR,12,0-453-763-124-944-808-753-959-750-385-259-531-0
rc1_10_5,BIH-GWO-DR,13,0-542-989-393-402-389-87-11-886-458-590-0
rc1_10_5,BIH-GWO-DR,14,0-162-143-806-68-602-954-207-226-447-611-661-0
rc1_10_5,BIH-GWO-DR,15,0-538-817-14-77-635-304-319-64-313-970-623-302-0
rc1_10_5,BIH-GWO-DR,16,0-363-629-300-725-298-428-713-971-573-690-123-0
rc1_10_5,BIH-GWO-DR,17,0-644-352-544-341-301-329-691-603-494-284-0
rc1_10_5,BIH-GWO-DR,18,0-271-932-354-436-878-362-82-475-217-524-392-72-460-0
rc1_10_5,BIH-GWO-DR,19,0-481-909-155-375-764-516-707-483-492-188-548-918-775-0
rc1_10_5,BIH-GWO-DR,20,0-584-904-305-945-979-295-130-417-972-168-113-0
rc1_10_5,BIH-GWO-DR,21,0-437-144-837-539-867-839-419-815-507-154-697-0
rc1_10_5,BIH-GWO-DR,22,0-63-518-685-545-315-146-105-537-201-973-0
rc1_10_5,BIH-GWO-DR,23,0-931-960-894-532-755-416-826-910-39-498-758-597-0
rc1_10_5,BIH-GWO-DR,24,0-326-870-933-866-767-51-709-121-804-926-580-595-0
rc1_10_5,BIH-GWO-DR,25,0-528-169-568-564-797-981-118-781-232-196-132-726-0
rc1_10_5,BIH-GWO-DR,26,0-370-148-534-37-974-656-378-8-432-332-631-338-0
rc1_10_5,BIH-GWO-DR,27,0-350-778-672-756-170-599-351-493-390-820-0
rc1_10_5,BIH-GWO-DR,28,0-215-401-692-515-26-693-560-303-260-683-678-527-0
rc1_10_5,BIH-GWO-DR,29,0-225-240-107-906-549-487-2-296-178-0
rc1_10_5,BIH-GWO-DR,30,0-285-517-405-426-514-588-883-74-669-427-0
rc1_10_5,BIH-GWO-DR,31,0-508-900-627-116-395-887-18-408-742-286-919-497-562-0
rc1_10_5,BIH-GWO-DR,32,0-325-264-787-762-884-796-557-291-269-0
rc1_10_5,BIH-GWO-DR,33,0-27-748-462-254-80-510-614-772-425-43-0
rc1_10_5,BIH-GWO-DR,34,0-845-334-60-587-869-381-601-152-251-173-0
rc1_10_5,BIH-GWO-DR,35,0-179-468-499-3-290-658-277-807-936-29-70-0
rc1_10_5,BIH-GWO-DR,36,0-312-800-137-342-525-596-356-942-574-241-0
rc1_10_5,BIH-GWO-DR,37,0-230-449-40-923-414-45-805-803-737-536-0
rc1_10_5,BIH-GWO-DR,38,0-724-798-702-892-774-828-821-431-55-512-473-897-202-0
rc1_10_5,BIH-GWO-DR,39,0-615-937-469-307-496-728-382-421-857-511-30-0
rc1_10_5,BIH-GWO-DR,40,0-533-636-676-1000-732-751-175-474-490-546-673-322-0
rc1_10_5,BIH-GWO-DR,41,0-835-925-987-703-309-689-609-12-61-913-0
rc1_10_5,BIH-GWO-DR,42,0-10-920-833-366-666-357-255-770-641-509-735-0
rc1_10_5,BIH-GWO-DR,43,0-612-720-22-553-819-721-142-667-982-620-502-769-69-0
rc1_10_5,BIH-GWO-DR,44,0-841-579-20-455-638-445-23-239-205-33-192-0
rc1_10_5,BIH-GWO-DR,45,0-791-822-830-75-645-160-139-569-513-583-0
rc1_10_5,BIH-GWO-DR,46,0-929-21-159-103-529-877-541-478-790-0
rc1_10_5,BIH-GWO-DR,47,0-947-827-44-733-632-559-145-832-127-907-163-369-0
rc1_10_5,BIH-GWO-DR,48,0-922-147-157-634-880-505-882-283-46-185-387-246-0
rc1_10_5,BIH-GWO-DR,49,0-786-694-50-7-199-189-895-151-555-109-153-0
rc1_10_5,BIH-GWO-DR,50,0-618-811-993-243-575-100-902-97-19-535-696-0
rc1_10_5,BIH-GWO-DR,51,0-248-849-852-810-699-441-540-54-765-0
rc1_10_5,BIH-GWO-DR,52,0-847-25-628-917-465-740-585-328-752-229-197-182-13-0
rc1_10_5,BIH-GWO-DR,53,0-228-984-996-220-466-746-308-626-292-257-0
rc1_10_5,BIH-GWO-DR,54,0-149-210-992-459-398-722-224-67-214-0
rc1_10_5,BIH-GWO-DR,55,0-523-824-267-814-96-287-470-129-209-558-371-0
rc1_10_5,BIH-GWO-DR,56,0-885-898-916-621-310-212-373-415-411-187-0
rc1_10_5,BIH-GWO-DR,57,0-327-710-330-439-617-324-442-463-4-968-250-0
rc1_10_5,BIH-GWO-DR,58,0-38-233-958-874-471-891-731-323-89-677-711-650-648-0
rc1_10_5,BIH-GWO-DR,59,0-522-888-245-591-875-486-889-854-181-36-136-0
rc1_10_5,BIH-GWO-DR,60,0-605-500-715-190-723-730-940-186-435-836-0
rc1_10_5,BIH-GWO-DR,61,0-66-133-949-200-848-939-58-194-651-840-718-430-0
rc1_10_5,BIH-GWO-DR,62,0-776-784-950-361-150-716-637-35-48-0
rc1_10_5,BIH-GWO-DR,63,0-253-71-15-671-582-211-520-482-649-184-495-222-0
rc1_10_5,BIH-GWO-DR,64,0-670-321-861-903-180-736-521-412-956-444-0
rc1_10_5,BIH-GWO-DR,65,0-706-314-306-788-789-935-506-294-423-158-396-0
rc1_10_5,BIH-GWO-DR,66,0-653-563-457-743-125-92-394-339-156-921-0
rc1_10_5,BIH-GWO-DR,67,0-206-530-479-31-543-663-450-333-700-759-872-0
rc1_10_5,BIH-GWO-DR,68,0-117-552-345-896-446-665-592-890-91-600-299-0
rc1_10_5,BIH-GWO-DR,69,0-664-705-102-586-335-739-279-704-747-359-120-551-0
rc1_10_5,BIH-GWO-DR,70,0-625-966-975-376-980-348-619-946-622-218-78-0
rc1_10_5,BIH-GWO-DR,71,0-915-639-681-289-719-404-164-84-480-680-265-0
rc1_10_5,BIH-GWO-DR,72,0-235-941-908-452-364-377-844-274-223-282-646-633-406-0
rc1_10_5,BIH-GWO-DR,73,0-268-593-318-489-624-905-606-62-9-812-280-138-0
rc1_10_5,BIH-GWO-DR,74,0-640-851-881-943-204-422-343-572-914-816-266-418-488-0
rc1_10_5,BIH-GWO-DR,75,0-174-717-687-372-28-177-879-193-688-566-799-0
rc1_10_5,BIH-GWO-DR,76,0-297-56-104-262-986-712-409-368-0
rc1_10_5,BIH-GWO-DR,77,0-901-990-57-846-198-952-429-565-652-570-643-997-403-0
rc1_10_5,BIH-GWO-DR,78,0-948-773-443-213-962-999-24-655-384-757-0
rc1_10_5,BIH-GWO-DR,79,0-675-576-813-594-951-85-865-938-780-978-0
rc1_10_5,BIH-GWO-DR,80,0-809-682-195-110-998-122-965-108-263-288-953-749-0
rc1_10_5,BIH-GWO-DR,81,0-642-554-589-858-358-461-550-397-899-111-340-0
rc1_10_5,BIH-GWO-DR,82,0-365-165-856-336-320-571-985-331-977-379-0
rc1_10_5,BIH-GWO-DR,83,0-171-41-456-167-701-242-337-873-674-400-0
rc1_10_5,BIH-GWO-DR,84,0-231-829-616-278-729-131-172-236-42-654-0
rc1_10_5,BIH-GWO-DR,85,0-16-504-969-708-454-183-380-112-561-399-247-191-604-0
rc1_10_5,BIH-GWO-DR,86,0-451-825-276-782-32-783-924-119-766-86-0
rc1_10_5,BIH-GWO-DR,87,0-850-741-88-256-353-49-1-802-83-0
rc1_10_5,BIH-GWO-DR,88,0-779-252-6-955-355-684-47-988-995-842-221-433-0
rc1_10_5,BIH-GWO-DR,89,0-660-760-5-501-391-34-413-994-317-0
rc1_10_5,BIH-GWO-DR,90,0-630-577-928-843-485-893-141-957-0
rc1_10_5,BIH-GWO-DR,91,0-991-838-383-668-258-467-761-208-106-745-0
