instance,algorithm,route_id,sequence
c2_10_3,GWO,1,0-119-98-73-86-580-702-743-901-543-430-989-789-32-369-36-766-372-954-844-975-450-319-0
c2_10_3,GWO,2,0-472-97-189-587-14-862-156-950-839-57-250-857-856-703-232-741-263-780-956-948-239-207-0
c2_10_3,GWO,3,0-420-383-963-313-606-7-212-109-551-220-401-142-567-194-648-973-668-755-312-775-958-317-6-841-947-719-763-0
c2_10_3,GWO,4,0-859-665-582-760-137-181-608-10-892-83-753-707-762-71-860-595-544-161-574-118-962-113-399-256-873-0
c2_10_3,GWO,5,0-342-589-110-130-132-475-359-303-491-187-390-227-519-374-348-127-80-111-807-182-15-600-991-558-120-366-0
c2_10_3,GWO,6,0-108-252-183-554-41-914-605-121-27-166-599-196-288-972-125-751-237-596-261-671-959-478-809-206-0
c2_10_3,GWO,7,0-309-12-291-539-846-861-63-678-560-717-136-813-724-56-323-259-297-621-443-849-370-409-759-81-139-0
c2_10_3,GWO,8,0-210-172-712-405-167-992-3-923-750-186-928-737-22-425-476-378-25-977-784-801-0
c2_10_3,GWO,9,0-346-241-141-713-613-891-145-217-664-243-193-996-502-754-467-360-418-51-620-553-452-209-0
c2_10_3,GWO,10,0-296-673-197-640-513-890-559-28-783-242-434-463-927-549-361-301-969-653-200-887-692-335-731-676-199-0
c2_10_3,GWO,11,0-689-835-509-394-670-322-520-320-669-446-106-501-159-800-411-20-347-169-286-402-276-934-221-735-874-0
c2_10_3,GWO,12,0-88-408-406-720-635-601-204-838-343-917-721-677-316-228-557-289-568-564-344-101-532-466-817-842-150-833-0
c2_10_3,GWO,13,0-62-561-821-37-656-116-777-978-961-563-994-176-631-480-273-768-787-74-329-968-461-18-21-315-17-0
c2_10_3,GWO,14,0-138-363-903-504-94-231-987-39-985-525-736-40-270-727-223-715-706-770-477-355-190-384-645-173-0
c2_10_3,GWO,15,0-77-650-935-107-576-598-909-863-165-294-607-685-693-205-331-655-52-910-952-515-351-395-808-637-710-24-0
c2_10_3,GWO,16,0-757-495-49-34-134-468-772-233-885-147-853-44-427-254-546-725-65-832-990-392-774-131-883-439-675-164-0
c2_10_3,GWO,17,0-623-921-767-257-76-572-836-974-23-794-282-941-444-919-114-202-225-45-160-877-117-133-0
c2_10_3,GWO,18,0-419-929-338-858-625-820-500-178-448-630-680-126-494-782-614-851-764-245-951-31-341-386-222-226-799-0
c2_10_3,GWO,19,0-64-745-356-823-417-660-798-271-5-986-583-396-144-321-69-980-581-616-634-84-128-328-902-46-611-293-357-0
c2_10_3,GWO,20,0-659-822-459-647-462-811-426-307-251-895-92-705-191-742-548-880-290-29-407-636-691-334-708-447-201-0
c2_10_3,GWO,21,0-457-749-455-531-224-936-453-188-103-481-886-91-932-274-926-284-68-615-503-215-304-129-915-398-0
c2_10_3,GWO,22,0-661-345-530-729-662-267-908-818-723-573-591-603-336-456-489-16-185-43-687-577-157-479-0
c2_10_3,GWO,23,0-235-67-9-981-746-900-385-148-362-195-436-54-79-85-594-498-123-966-854-916-649-507-89-840-175-0
c2_10_3,GWO,24,0-192-824-13-699-871-592-953-516-72-918-465-451-547-837-773-562-578-788-380-266-965-920-761-140-216-287-283-876-988-0
c2_10_3,GWO,25,0-681-785-815-518-912-381-510-404-864-496-244-700-11-416-894-701-365-153-124-70-726-791-819-30-485-171-0
c2_10_3,GWO,26,0-523-364-95-278-253-758-234-162-340-868-198-695-154-619-483-493-658-484-275-499-957-588-471-48-410-0
c2_10_3,GWO,27,0-537-679-264-353-208-672-38-258-904-391-429-412-358-87-802-33-747-377-657-938-790-1000-302-490-66-179-0
c2_10_3,GWO,28,0-622-632-464-248-734-152-517-229-786-937-255-905-371-888-711-765-776-847-326-998-460-730-311-93-624-796-155-295-0
c2_10_3,GWO,29,0-497-714-879-413-260-42-834-354-379-177-433-299-718-644-698-458-112-522-158-151-643-896-738-898-435-211-534-0
c2_10_3,GWO,30,0-704-617-143-922-281-422-933-626-508-609-82-388-845-979-744-805-825-262-512-541-995-375-469-870-4-982-931-492-0
c2_10_3,GWO,31,0-852-556-514-569-697-566-889-339-400-826-279-810-238-305-218-100-272-440-55-550-449-814-265-488-58-438-899-454-779-0
c2_10_3,GWO,32,0-470-812-618-828-214-180-943-683-555-641-688-831-247-663-924-771-843-219-415-437-575-667-298-792-993-269-26-105-682-536-939-0
c2_10_3,GWO,33,0-213-75-230-722-246-53-590-906-565-50-716-806-552-944-855-850-666-337-875-277-893-897-999-1-984-803-327-268-240-869-203-0
c2_10_3,GWO,34,0-163-349-646-756-570-487-654-732-752-545-8-629-135-59-638-393-442-306-424-122-627-696-694-60-642-367-940-236-867-310-99-115-584-0
c2_10_3,GWO,35,0-423-946-793-350-352-827-78-96-652-146-47-292-542-428-769-170-797-628-432-925-795-866-90-612-571-740-102-538-930-431-104-597-955-421-0
c2_10_3,GWO,36,0-368-389-149-184-403-907-960-521-61-878-511-332-441-585-964-816-300-526-314-913-949-373-308-881-474-285-604-382-586-983-505-848-971-524-0
c2_10_3,GWO,37,0-610-970-684-376-506-528-593-168-414-997-945-535-397-333-865-540-911-829-804-473-872-781-884-35-728-651-967-739-325-639-174-330-778-482-529-249-0
c2_10_3,GWO,38,0-324-830-2-748-709-633-527-533-579-280-387-445-942-686-690-19-486-976-733-602-318-674-882-0
