instance,algorithm,route_id,sequence
r1_10_1,GWO,1,0-110-620-587-844-753-527-478-866-0
r1_10_1,GWO,2,0-486-230-818-793-37-94-756-868-711-592-348-970-898-687-877-0
r1_10_1,GWO,3,0-854-675-226-41-360-766-494-344-864-541-0
r1_10_1,GWO,4,0-487-417-953-187-36-378-743-559-0
r1_10_1,GWO,5,0-247-339-930-643-362-610-61-101-845-0
r1_10_1,GWO,6,0-14-477-292-368-184-542-815-366-137-780-456-0
r1_10_1,GWO,7,0-726-115-952-414-20-0
r1_10_1,GWO,8,0-911-64-154-268-974-598-17-535-359-467-809-989-0
r1_10_1,GWO,9,0-213-684-600-49-0
r1_10_1,GWO,10,0-697-459-727-550-25-219-420-217-751-0
r1_10_1,GWO,11,0-141-624-892-232-660-978-735-257-0
r1_10_1,GWO,12,0-775-299-816-324-504-59-261-721-461-455-0
r1_10_1,GWO,13,0-790-229-749-228-191-431-951-174-469-421-730-0
r1_10_1,GWO,14,0-927-447-38-846-111-800-281-634-82-632-214-0
r1_10_1,GWO,15,0-26-294-969-207-822-130-750-266-0
r1_10_1,GWO,16,0-201-931-575-991-812-778-351-839-871-0
r1_10_1,GWO,17,0-706-773-218-60-787-621-537-320-105-267-297-255-0
r1_10_1,GWO,18,0-74-988-326-407-65-278-0
r1_10_1,GWO,19,0-68-573-791-516-796-0
r1_10_1,GWO,20,0-667-190-275-801-387-51-173-0
r1_10_1,GWO,21,0-802-936-193-538-100-109-562-831-0
r1_10_1,GWO,22,0-28-920-124-280-11-907-913-195-602-0
r1_10_1,GWO,23,0-235-453-208-779-432-178-878-470-567-837-436-850-0
r1_10_1,GWO,24,0-704-799-35-328-32-253-0
r1_10_1,GWO,25,0-117-640-593-717-843-742-574-982-659-739-274-919-0
r1_10_1,GWO,26,0-695-372-202-471-921-941-108-589-916-894-0
r1_10_1,GWO,27,0-489-718-148-411-770-302-547-762-264-532-0
r1_10_1,GWO,28,0-932-654-737-312-220-145-859-380-698-0
r1_10_1,GWO,29,0-673-890-107-502-254-279-483-625-729-106-0
r1_10_1,GWO,30,0-122-944-841-367-956-363-424-430-166-0
r1_10_1,GWO,31,0-893-738-607-630-182-239-384-501-0
r1_10_1,GWO,32,0-873-517-651-853-18-915-15-371-423-918-664-0
r1_10_1,GWO,33,0-881-943-533-334-579-618-480-175-391-445-626-0
r1_10_1,GWO,34,0-712-269-713-215-283-142-0
r1_10_1,GWO,35,0-819-645-508-396-962-785-821-847-646-0
r1_10_1,GWO,36,0-606-691-194-740-577-240-795-162-1-968-0
r1_10_1,GWO,37,0-1000-289-305-657-113-307-882-135-382-836-586-0
r1_10_1,GWO,38,0-53-617-680-126-599-947-636-976-761-805-0
r1_10_1,GWO,39,0-650-165-971-444-917-965-256-176-505-658-129-13-172-277-0
