instance,algorithm,route_id,sequence
rc1_10_3,GWO,1,0-230-176-871-252-101-211-431-821-512-55-702-875-0
rc1_10_3,GWO,2,0-244-126-349-464-647-65-610-139-340-860-113-0
rc1_10_3,GWO,3,0-272-234-346-753-808-500-715-540-198-364-0
rc1_10_3,GWO,4,0-451-922-659-409-76-147-832-947-885-44-479-0
rc1_10_3,GWO,5,0-386-660-605-695-261-344-423-898-964-462-902-221-0
rc1_10_3,GWO,6,0-437-547-642-946-987-586-335-980-120-811-551-509-0
rc1_10_3,GWO,7,0-93-271-741-886-656-774-649-226-978-373-0
rc1_10_3,GWO,8,0-228-581-855-679-2-440-280-815-458-807-0
rc1_10_3,GWO,9,0-124-248-763-5-190-209-187-895-313-921-942-0
rc1_10_3,GWO,10,0-792-989-87-389-11-600-486-591-599-0
rc1_10_3,GWO,11,0-114-363-170-865-150-776-673-558-214-0
rc1_10_3,GWO,12,0-818-116-900-684-742-286-772-343-943-879-566-43-872-0
rc1_10_3,GWO,13,0-817-14-77-823-421-535-97-100-993-177-979-538-0
rc1_10_3,GWO,14,0-508-395-355-786-919-80-717-372-526-28-241-935-92-0
rc1_10_3,GWO,15,0-578-568-849-797-699-981-118-391-212-827-0
rc1_10_3,GWO,16,0-927-162-806-68-954-35-117-938-223-952-0
rc1_10_3,GWO,17,0-904-27-653-31-125-632-174-394-415-700-730-714-0
rc1_10_3,GWO,18,0-787-474-676-1000-732-751-429-565-940-186-726-0
rc1_10_3,GWO,19,0-909-352-755-472-826-992-912-831-253-463-617-284-0
rc1_10_3,GWO,20,0-38-725-768-298-233-522-471-323-731-89-576-877-0
rc1_10_3,GWO,21,0-240-225-327-107-549-487-853-862-368-698-0
rc1_10_3,GWO,22,0-350-426-405-514-588-320-985-331-595-0
rc1_10_3,GWO,23,0-326-325-612-767-51-709-561-446-452-57-643-557-0
rc1_10_3,GWO,24,0-305-694-127-189-199-294-457-333-310-270-0
rc1_10_3,GWO,25,0-685-63-315-105-537-840-598-24-655-178-0
rc1_10_3,GWO,26,0-144-837-308-140-128-465-182-4-262-15-0
rc1_10_3,GWO,27,0-845-449-40-930-414-805-737-748-145-411-0
rc1_10_3,GWO,28,0-88-256-49-29-70-459-662-460-83-0
rc1_10_3,GWO,29,0-436-82-37-534-148-718-712-680-164-639-893-0
rc1_10_3,GWO,30,0-778-888-245-756-351-592-299-956-207-222-477-0
rc1_10_3,GWO,31,0-401-215-692-515-713-573-560-303-260-683-678-444-711-541-0
rc1_10_3,GWO,32,0-155-375-707-693-188-777-548-491-918-520-775-0
rc1_10_3,GWO,33,0-60-334-830-587-907-295-417-46-634-318-812-0
rc1_10_3,GWO,34,0-301-227-603-432-934-482-184-36-136-648-269-0
rc1_10_3,GWO,35,0-920-25-917-740-924-625-975-589-550-358-185-138-257-0
rc1_10_3,GWO,36,0-884-21-796-274-665-219-637-361-950-749-406-0
rc1_10_3,GWO,37,0-539-220-419-996-366-507-710-277-56-1-802-0
rc1_10_3,GWO,38,0-724-798-892-828-473-95-98-58-194-863-104-524-296-0
rc1_10_3,GWO,39,0-800-312-525-356-339-410-99-687-73-506-151-0
rc1_10_3,GWO,40,0-579-267-841-963-977-249-552-263-232-570-435-403-48-0
rc1_10_3,GWO,41,0-615-469-307-75-645-160-64-156-562-970-496-622-387-0
rc1_10_3,GWO,42,0-835-668-466-746-585-157-739-972-119-880-608-0
rc1_10_3,GWO,43,0-824-638-445-594-951-159-371-167-701-661-0
rc1_10_3,GWO,44,0-743-530-563-916-621-543-266-816-450-663-34-0
rc1_10_3,GWO,45,0-784-716-345-813-675-896-288-365-121-519-192-0
rc1_10_3,GWO,46,0-243-575-728-382-19-569-696-30-163-433-995-0
rc1_10_3,GWO,47,0-908-553-287-142-616-41-183-546-196-667-654-259-0
rc1_10_3,GWO,48,0-719-915-353-84-480-289-681-404-265-237-834-928-0
rc1_10_3,GWO,49,0-377-844-901-990-846-646-750-633-555-79-574-488-418-559-438-0
rc1_10_3,GWO,50,0-925-833-626-328-847-628-485-378-630-71-577-843-0
rc1_10_3,GWO,51,0-276-752-229-197-704-913-825-357-434-697-168-0
rc1_10_3,GWO,52,0-609-705-309-703-689-12-782-255-283-744-0
rc1_10_3,GWO,53,0-582-671-986-475-217-72-999-773-3-200-468-948-936-0
rc1_10_3,GWO,54,0-664-268-102-9-279-899-111-348-619-130-369-766-842-0
rc1_10_3,GWO,55,0-851-640-881-204-422-572-914-510-614-425-396-0
rc1_10_3,GWO,56,0-809-856-110-122-965-953-571-399-412-780-611-0
rc1_10_3,GWO,57,0-376-966-554-858-783-32-461-747-397-359-583-0
rc1_10_3,GWO,58,0-231-682-165-278-729-131-282-236-620-205-926-580-0
rc1_10_3,GWO,59,0-962-443-949-213-499-848-939-290-658-651-910-392-338-0
rc1_10_3,GWO,60,0-242-456-829-336-337-873-674-33-108-132-0
rc1_10_3,GWO,61,0-905-593-489-624-606-62-61-503-761-324-442-208-106-13-0
rc1_10_3,GWO,62,0-16-504-998-195-969-708-454-380-112-172-42-413-0
rc1_10_3,GWO,63,0-439-133-804-20-861-455-23-982-733-788-857-0
rc1_10_3,GWO,64,0-937-596-564-941-175-322-321-247-890-897-39-8-0
rc1_10_3,GWO,65,0-179-250-390-523-239-96-22-385-137-342-306-254-0
rc1_10_3,GWO,66,0-498-332-297-839-513-511-988-171-836-994-0
rc1_10_3,GWO,67,0-470-721-819-180-903-670-736-447-867-770-47-0
rc1_10_3,GWO,68,0-381-666-493-604-191-521-814-129-852-141-0
rc1_10_3,GWO,69,0-764-820-781-169-810-441-688-623-152-601-822-302-0
rc1_10_3,GWO,70,0-109-528-672-91-690-516-483-492-869-882-0
rc1_10_3,GWO,71,0-193-794-495-26-971-428-103-757-0
rc1_10_3,GWO,72,0-723-652-720-123-968-791-618-505-497-0
rc1_10_3,GWO,73,0-383-984-10-218-889-958-874-891-997-759-50-319-923-0
